"","Site","Org","Location","latitude","longitude","Year","Date","random_site","occ.status","slope","aspect","elevation","tempc","windms","day.of.year","dist.road","summer.tmax","winter.tmin","percent.tmax.days","summer.pcpn.mm","winter.pcpn.mm","lowshrub","tallshrub","eds","vegclass","veg.height","lowshrub.cover","aspectRad","northness","eastness"
"13","P128","ACCS","Paxson",63.074222,-146.231861,2018,"8/3/2018",0,"occupied",25.5097942,41.2557411,1217,13,0.40232454179705,215,355.6617819,15.47054348,-21.6492562,1.0869565,264.6,129.42,"NA","NA",37.7619047619048,"eds",0,0,0.720048517545347,0.751773736530327,0.659421146963935
"14","P135","ACCS","Denali",63.748337,-148.872317,2018,"8/15/2018",0,"occupied",19.7228565,218.5123444,935,14.4,0,227,1243.053682,15.3626087,-16.56173554,0,213.43,125.96,"60","NA",40,"eds",0.06,35,3.81375986603179,-0.782474017647029,-0.62268323544746
"15","P133","ACCS","Denali",63.801632,-148.979144,2018,"8/16/2018",0,"occupied",21.8507767,77.5427704,951,8.7,0.804649083594099,228,1131.022909,14.98902174,-16.27247934,0,213.14,120.18,"NA","NA",10,"dds",0.05,0,1.353376654598,0.215710764057708,0.976457303864147
"16","MV","ACCS","Denali",63.43067603,-150.366498,2018,"8/18/2018",0,"occupied",11.4336329,183.5489502,1156,13.4,2.32454179704962,230,361.7349432,14.40619565,-14.83950413,0,272.82,168.21,"30","NA",25,"dds",0.42,38,3.2035335195691,-0.998082277817576,-0.0619012657906062
"17","P146A","ACCS","Denali",63.43659097,-150.316008,2018,"8/19/2018",0,"occupied",26.6057224,156.4647675,1360,11.1,2.59275815824765,231,508.1027538,12.79695652,-14.85785124,0,286.81,173.45,"1","NA",5,"dds",0.114,14.8,2.73082535624242,-0.916814700991378,0.399312914950281
"18","Polychrome","ACCS","Denali",63.53560698,-149.828615,2018,"8/20/2018",0,"occupied",9.9673719,120.4945297,1135,11.6,3.57621814930711,232,14.02195808,15.09586957,-15.2892562,0,248.87,141.37,"50","NA",0,"ls",0.114,14.8,2.1030262739071,-0.507456096822314,0.861677613610718
"19","P138","ACCS","Denali",63.739354,-149.281669,2018,"8/21/2018",0,"occupied",27.403368,253.0160522,979,13.2,2.23513634331694,233,455.4096713,15.53391304,-15.90016529,0,232.53,135.15,"20","NA",30,"dds",0.114,14.8,4.41596317128784,-0.292103771332759,-0.956386630381866
"20","P300","ACCS","Hatcher Pass",61.81248601,-149.2166,2018,"8/27/2018",0,"occupied",31.2066803,170.705307,929,11.5,0.983459991059455,239,333.3924263,13.48097826,-10.90066116,0,284.1,861.18,"10","NA",60,"eds",0.195,19.7,2.97936965777772,-0.98687068066658,0.161512413271181
"21","P002","ACCS","Hatcher Pass",61.80948,-149.23418,2019,"7/16/2019",0,"occupied",18.729908,44.3226166,911,15.2,0.6,197,387.1556919,12.08,-10.29661157,0,592.79,639.06,"10","NA",75,"eds",0.393333333333333,22,0.773575592769095,0.715416989599062,0.698697739364467
"22","P092","ACCS","Paxson",63.12284192,-146.2469075,2019,"7/24/2019",0,"occupied",25.9352283,267.5293884,1208,13.1,0.9,205,3776.675399,14.05315217,-19.01099174,0,320.69,39.85,"10","NA",80,"eds",0.07,1,4.66926867342672,-0.0431069454982889,-0.99907046360595
"23","P094","ACCS","Paxson",63.12132999,-146.18567,2019,"7/24/2019",0,"occupied",18.570509,257.3028259,1369,13.1,0.7,205,4703.941617,12.76826087,-19.88842975,0,345.39,41.07,"1","NA",40,"lic",0.08,0,4.49078148664074,-0.21979808949323,-0.975545385850974
"24","P119","ACCS","Paxson",63.08487073,-146.3910338,2019,"7/25/2019",0,"occupied",19.9444218,4.6102734,1319,11.4,1,206,187.2749275,13.0526087,-19.41942149,0,338.58,46.88,"30","NA",80,"eds",0,0,0.0804644502471135,0.996764482392536,0.0803776501319832
"25","P111","ACCS","Paxson",63.08770004,-146.3077,2019,"7/25/2019",0,"occupied",14.4710941,326.3193665,1255,13,2.2,206,329.9641217,13.09608696,-19.57206612,0,338.98,46.01,"35","NA",60,"eds",0.06,1,5.69534735844708,0.832141617116713,-0.554563187619213
"26","P010A","ACCS","Hatcher Pass",61.76157299,-149.323738,2019,"7/31/2019",0,"unoccupied",23.3185463,226.8164063,1289,16.8,0.5,212,573.7155536,9.499891304,-10.51239669,0,665.88,551.98,"1","0",60,"eds",0.04,0,3.95869308747621,-0.684338342109114,-0.729164613457996
"27","P616","ACCS","Southcentral",60.96205727,-149.0798976,2019,"7/31/2019",0,"unoccupied",24.8190536,313.8938599,689,15.2,0.5,212,1285.205131,13.68717391,-5.490743802,0,420.7,892.64,"2","NA",70,"eds",0.07,2,5.4784813570488,0.693324606462262,-0.720625415922829
"28","P100","ACCS","Paxson",63.08387999,-145.63512,2019,"8/8/2019",0,"occupied",18.5797176,40.4835167,1076,15.5,4.6,220,684.1042411,15.2325,-19.42768595,1.0869565,305.2,34.76,"40","NA",45,"eds",0.1,0,0.70657065920111,0.760592772447212,0.649229261895259
"29","P147","ACCS","Denali",63.35586302,-148.376847,2019,"8/11/2019",0,"occupied",31.6821823,22.293829,1025,15.5,0.5,223,1452.170056,12.75391304,-15.67256198,0,365.26,107.12,"2","45",15,"ts",0.04,0,0.389100718926595,0.925250582067343,0.379356508292717
"30","JB01","JBER","JBER",61.14944,-149.547,2019,"8/19/2019",0,"occupied",4.93667,2.644766,1072,14.7,1.2,231,7637.207763,12.8773913,-8.588016529,0,363.12,320.14,"0","NA",80,"eds",0.02,0,0.0461598746448004,0.998934822140765,0.0461434839885046
"31","JB02","JBER","JBER",61.14596,-149.534,2019,"8/20/2019",0,"occupied",8.16937,204.2987,1109,10.6,1.6,232,8410.316715,12.17195652,-8.781239669,0,376.15,338.42,"1","NA",20,"dgh",0,0,3.56568497254414,-0.911412613365468,-0.411493679414798
