#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2018-06-01 to 2018-08-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOTEL 641: Frostbite Bottom, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOLITE 768: Look Eyrie, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOLITE 1279: Nicks Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment             Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches              N/A           PRCPSA        Snow adjusted total preciptation                                                                   
# Snow Depth                          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2018-06-01 to 2018-08-31
#
# As of: Jul 30, 2021 8:35:13 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Increment - Snow-adj (in),Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2018-07-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,60,0.10,0.10,0,0.0
2018-07-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,65,0.00,0.00,0,0.0
2018-07-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,69,0.00,0.00,0,0.0
2018-07-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,67,0.00,0.00,0,0.0
2018-07-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,66,0.00,0.00,0,0.0
2018-07-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,72,0.00,0.00,0,0.0
2018-07-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,68,0.00,0.00,0,0.0
2018-07-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,64,0.00,0.00,0,0.0
2018-07-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,60,0.00,0.00,0,0.0
2018-07-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,59,0.10,0.10,0,0.0
2018-07-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,59,0.00,0.00,0,0.0
2018-07-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,62,0.00,0.00,0,0.0
2018-07-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,61,0.00,0.00,0,0.0
2018-07-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,67,0.00,0.00,0,0.0
2018-07-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,68,0.00,0.00,0,0.0
2018-07-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,76,0.00,0.00,0,0.0
2018-08-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,58,0.20,0.20,0,0.0
2018-08-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,54,0.20,0.20,0,0.0
2018-08-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,69,0.00,0.00,0,0.0
2018-08-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,66,0.00,0.00,0,0.0
2018-08-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,64,0.00,0.00,0,0.0
2018-08-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,65,0.10,0.10,0,0.0
2018-08-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,59,1.30,1.30,0,0.0
2018-08-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,53,0.80,0.80,0,0.0
2018-08-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,62,0.00,0.00,0,0.0
2018-08-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,60,0.00,0.00,0,0.0
2018-08-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,57,0.80,0.80,0,0.0
2018-08-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,61,0.20,0.20,0,0.0
2018-08-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,55,0.20,0.20,0,0.0
2018-08-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,50,0.30,0.30,0,0.0
2018-08-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,54,0.00,0.00,0,0.0
2018-08-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,54,0.20,0.20,0,0.0
2018-08-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,55,0.00,0.00,0,0.0
2018-08-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,52,0.00,0.00,0,0.0
2018-08-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.20,0.20,0,0.0
2018-08-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,56,0.10,0.10,0,0.0
2018-08-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,52,1.20,1.20,0,0.0
2018-08-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,64,0.10,0.10,0,0.0
2018-08-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,53,0.30,0.30,0,0.0
2018-08-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,0.00,0,0.0
2018-08-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,56,0.00,0.00,0,0.0
2018-08-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,54,0.30,0.30,0,0.0
2018-08-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,56,0.00,0.00,0,0.0
2018-08-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,61,0.00,0.00,0,0.0
2018-08-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,62,0.00,0.00,0,0.0
2018-08-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,57,0.00,0.00,0,0.0
2018-08-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,56,0.10,0.10,0,0.0
2018-06-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,52,0.00,,0,
2018-06-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,59,0.00,,0,
2018-06-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,57,0.00,,0,
2018-06-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,54,0.10,,0,
2018-06-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,57,0.00,,0,
2018-06-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,,0,
2018-06-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,56,0.00,,0,
2018-06-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,,0,
2018-06-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,54,0.10,,0,
2018-06-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,38,45,0.10,,0,
2018-06-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,33,39,0.00,,0,
2018-06-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,35,40,0.30,,0,
2018-06-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,42,49,0.00,,0,
2018-06-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,50,0.00,,0,
2018-06-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,52,0.30,,0,
2018-06-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,50,0.30,,0,
2018-06-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,56,0.00,,0,
2018-06-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,60,0.00,,0,
2018-06-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,,0,
2018-06-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,56,65,0.00,,0,
2018-06-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,69,0.30,,0,
2018-06-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,56,0.30,,0,
2018-06-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,57,0.00,,0,
2018-06-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,57,0.00,,0,
2018-06-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,57,0.00,,0,
2018-06-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,60,0.00,,0,
2018-06-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,55,0.10,,0,
2018-06-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,51,0.30,,0,
2018-06-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,60,0.00,,0,
2018-06-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,58,0.80,,0,
2018-07-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,57,0.10,,0,
2018-07-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,59,0.00,,0,
2018-07-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,61,0.00,,0,
2018-07-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,55,62,0.00,,0,
2018-07-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,55,0.10,,0,
2018-07-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,61,0.00,,0,
2018-07-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,56,63,0.00,,0,
2018-07-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.10,,0,
2018-07-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,61,0.00,,0,
2018-07-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.00,,0,
2018-07-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,44,0.60,,0,
2018-07-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,55,0.00,,0,
2018-07-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,65,0.00,,0,
2018-07-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,59,0.20,,0,
2018-07-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,51,0.20,,0,
2018-07-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,50,0.20,,0,
2018-07-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,50,0.10,,0,
2018-07-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,53,0.00,,0,
2018-07-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,54,0.00,,0,
2018-07-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,58,0.00,,0,
2018-07-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,67,0.00,,0,
2018-07-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,65,74,0.00,,0,
2018-07-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,66,75,0.00,,0,
2018-07-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,66,73,0.00,,0,
2018-07-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,66,73,0.00,,0,
2018-07-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,59,62,0.00,,0,
2018-07-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,63,0.00,,0,
2018-07-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,59,0.00,,0,
2018-07-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,68,0.00,,0,
2018-07-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,67,0.00,,0,
2018-07-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,68,0.00,,0,
2018-08-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,61,0.00,,0,
2018-08-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,53,0.10,,0,
2018-08-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.10,,0,
2018-08-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,53,0.10,,0,
2018-08-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,49,0.60,,0,
2018-08-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,45,47,0.20,,0,
2018-08-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,49,0.10,,0,
2018-08-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,45,0.00,,0,
2018-08-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,48,0.00,,0,
2018-08-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,42,49,0.00,,0,
2018-08-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,56,0.00,,0,
2018-08-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,56,0.00,,0,
2018-08-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,57,0.30,,0,
2018-08-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,38,41,0.70,,0,
2018-08-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,43,0.10,,0,
2018-08-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,42,0.10,,0,
2018-08-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,42,0.20,,0,
2018-08-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,50,0.00,,0,
2018-08-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,56,0.00,,0,
2018-08-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,58,0.00,,0,
2018-08-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,50,0.40,,0,
2018-08-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,33,36,0.10,,0,
2018-08-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,49,0.10,,0,
2018-08-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,42,44,0.50,,0,
2018-08-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,44,0.10,,0,
2018-08-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,52,0.10,,0,
2018-08-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,42,44,0.30,,0,
2018-08-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,43,0.30,,0,
2018-08-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,38,40,0.10,,0,
2018-08-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,37,39,0.40,,0,
2018-08-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,35,42,0.40,,0,
2018-06-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,45,57,,,0,0.0
2018-06-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,63,,,0,0.0
2018-06-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,65,,,0,0.0
2018-06-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,52,65,,,0,0.0
2018-06-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,68,,,0,0.0
2018-06-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,48,60,,,0,0.0
2018-06-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,47,60,,,0,0.0
2018-06-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,46,57,,,0,0.0
2018-06-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,63,,,0,0.0
2018-06-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,46,58,,,0,0.0
2018-06-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,36,43,,,0,0.0
2018-06-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,40,48,,,0,0.0
2018-06-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,45,56,,,0,0.0
2018-06-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,45,56,,,0,0.0
2018-06-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,47,56,,,0,0.0
2018-06-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,60,,,0,0.0
2018-06-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,58,,,0,0.0
2018-06-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,52,60,,,0,0.0
2018-06-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,59,,,0,0.0
2018-06-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,55,72,,,0,0.0
2018-06-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,57,72,,,0,0.0
2018-06-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,56,,,0,0.0
2018-06-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,59,,,0,0.0
2018-06-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,52,58,,,0,0.0
2018-06-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,64,,,0,0.0
2018-06-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,48,54,,,0,0.0
2018-06-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,56,,,0,0.0
2018-06-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,59,,,0,0.0
