#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-06-01 to 2017-08-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency  
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                      
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                     
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-06-01 to 2017-08-31
#
# As of: Sep 30, 2021 11:22:28 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values
2017-07-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,71,0.00,13.4
2017-07-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,60,66,0.00,13.4
2017-07-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,58,65,0.00,13.4
2017-07-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,63,0.00,13.4
2017-07-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,59,0.00,13.4
2017-07-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,56,0.00,13.4
2017-07-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,53,0.10,13.4
2017-07-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,65,0.00,13.5
2017-07-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,58,68,0.00,13.5
2017-07-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,74,0.00,13.5
2017-07-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,65,76,0.00,13.5
2017-07-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,58,66,0.00,13.5
2017-07-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,59,0.10,13.5
2017-07-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,56,0.00,13.6
2017-07-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,64,0.00,13.6
2017-07-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,55,0.10,13.6
2017-07-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,52,59,0.00,13.7
2017-07-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,66,0.00,13.7
2017-07-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,63,0.00,13.7
2017-08-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,54,59,0.10,13.7
2017-08-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,58,0.00,13.8
2017-08-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,63,0.00,13.8
2017-08-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,67,0.00,13.8
2017-08-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,58,73,0.00,13.8
2017-08-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,57,70,0.00,13.8
2017-08-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,55,67,0.00,13.8
2017-08-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,59,68,0.00,13.8
2017-08-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,56,62,0.00,13.8
2017-08-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,53,57,0.10,13.8
2017-08-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,50,0.40,13.9
2017-08-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,53,0.40,14.3
2017-08-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,54,0.50,14.7
2017-08-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,59,0.00,15.2
2017-08-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,58,0.00,15.2
2017-08-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,49,0.20,15.2
2017-08-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,45,51,0.00,15.4
2017-08-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,44,51,0.60,15.4
2017-08-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,47,56,0.00,16.0
2017-08-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,46,47,0.20,16.0
2017-08-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,54,0.20,16.2
2017-08-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,62,0.10,16.4
2017-08-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,56,0.10,16.5
2017-08-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,50,0.30,16.6
2017-08-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,48,54,0.00,16.9
2017-08-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,56,0.00,16.9
2017-08-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,60,0.00,16.9
2017-08-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,55,0.00,16.9
2017-08-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,51,63,0.10,16.9
2017-08-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,50,57,0.10,17.0
2017-08-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,49,55,0.00,17.1
2017-06-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,53,0.00,5.8
2017-06-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,51,0.00,5.8
2017-06-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,45,53,0.00,5.8
2017-06-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,55,0.00,5.8
2017-06-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,57,0.00,5.8
2017-06-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,59,0.00,5.8
2017-06-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,57,0.00,5.8
2017-06-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,61,0.00,5.8
2017-06-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,63,0.00,5.8
2017-06-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,55,0.10,5.8
2017-06-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,53,0.00,5.9
2017-06-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,42,50,0.00,5.9
2017-06-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,37,45,0.00,5.9
2017-06-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,53,0.00,5.9
2017-06-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,59,0.00,5.9
2017-06-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,58,0.00,5.9
2017-06-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,49,0.00,5.9
2017-06-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,58,0.00,5.9
2017-06-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,61,0.10,5.9
2017-06-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,61,0.30,6.0
2017-06-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,62,0.00,6.3
2017-06-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,65,0.00,6.3
2017-06-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,60,0.00,6.3
2017-06-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,58,0.00,6.3
2017-06-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,52,57,0.00,6.3
2017-06-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,58,0.10,6.3
2017-06-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,64,0.00,6.4
2017-06-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,63,0.00,6.4
2017-06-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,67,0.00,6.4
2017-06-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,62,0.30,6.4
2017-07-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,59,0.40,6.7
2017-07-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,59,0.70,7.1
2017-07-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,55,61,0.00,7.8
2017-07-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,64,0.00,7.8
2017-07-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,65,0.00,7.8
2017-07-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,63,71,0.00,7.8
2017-07-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,68,0.80,7.8
2017-07-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,67,0.00,8.6
2017-07-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,59,66,0.00,8.6
2017-07-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,55,0.70,8.6
2017-07-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,60,0.10,9.3
2017-07-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,63,0.00,9.4
2017-07-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,64,0.00,9.4
2017-07-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,62,74,0.00,9.4
2017-07-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,56,61,0.10,9.4
2017-07-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,58,0.10,9.5
2017-07-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,55,62,0.10,9.6
2017-07-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,65,0.20,9.7
2017-07-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,68,0.10,9.9
2017-07-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,56,62,0.30,10.0
2017-07-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,56,0.20,10.3
2017-07-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,53,60,0.00,10.5
2017-07-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,64,0.00,10.5
2017-07-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,51,0.10,10.5
2017-07-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,49,56,0.10,10.6
2017-07-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,56,0.00,10.7
2017-07-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,55,0.00,10.7
2017-07-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,54,64,0.00,10.7
2017-07-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,55,61,0.00,10.7
2017-07-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,65,0.00,10.7
2017-07-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,63,0.10,10.7
2017-08-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,57,0.00,10.8
2017-08-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,49,0.10,10.8
2017-08-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,60,0.00,10.9
2017-08-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,48,50,0.00,10.9
2017-08-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,56,64,0.00,10.9
2017-08-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,61,69,0.00,10.9
2017-08-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,58,65,0.00,10.9
2017-08-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,55,61,0.00,10.9
2017-08-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,60,71,0.00,10.9
2017-08-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,57,61,0.00,10.9
2017-08-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,51,58,0.00,10.9
2017-08-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,57,0.60,10.9
2017-08-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,50,61,1.60,11.5
2017-08-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,47,0.50,13.1
2017-08-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,49,0.30,13.6
2017-08-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,45,53,0.00,13.9
2017-08-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,45,0.10,13.9
2017-08-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,48,0.10,14.0
2017-08-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,46,0.60,14.1
2017-08-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,48,0.10,14.7
2017-08-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,45,52,0.00,14.8
2017-08-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,54,0.00,14.8
2017-08-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,49,0.00,14.8
2017-08-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,47,54,0.00,14.8
2017-08-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,46,49,0.10,14.8
2017-08-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,46,0.00,14.9
2017-08-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,43,48,0.10,14.9
2017-08-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,44,51,0.10,15.0
2017-08-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,39,44,0.10,15.1
2017-08-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,40,45,0.20,15.2
2017-08-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,41,49,0.00,15.4
2017-06-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,63,0.00,7.5
2017-06-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,63,0.00,7.5
2017-06-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,68,0.00,7.5
2017-06-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,65,0.00,7.5
2017-06-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,47,58,0.00,7.5
2017-06-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,65,0.00,7.5
2017-06-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,55,67,0.00,7.5
2017-06-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,61,74,0.00,7.5
2017-06-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,64,82,0.00,7.5
2017-06-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,60,71,0.00,7.5
2017-06-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,45,51,0.40,7.5
2017-06-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,43,49,0.40,7.9
2017-06-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,46,55,0.00,8.3
2017-06-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,46,59,0.00,8.3
2017-06-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,62,0.00,8.3
2017-06-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,64,0.00,8.3
2017-06-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,59,0.00,8.3
2017-06-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,62,0.00,8.3
2017-06-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,63,0.00,8.3
2017-06-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,48,53,0.20,8.3
2017-06-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,55,63,0.00,8.5
2017-06-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,65,0.00,8.5
2017-06-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,53,62,0.00,8.5
2017-06-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,54,61,0.00,8.5
2017-06-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,64,0.10,8.5
2017-06-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,52,65,0.00,8.6
2017-06-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,47,55,0.40,8.6
2017-06-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,60,0.00,9.0
2017-06-29,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,62,0.00,9.0
2017-06-30,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,52,61,0.00,9.0
2017-07-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,64,0.00,9.0
2017-07-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,54,0.20,9.0
2017-07-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,58,0.00,9.2
2017-07-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,55,65,0.00,9.2
2017-07-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,59,72,0.00,9.2
2017-07-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,59,76,0.00,9.2
2017-07-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,58,69,0.00,9.2
2017-07-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,50,64,0.70,9.2
2017-07-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,63,0.00,9.9
2017-07-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,49,56,0.10,9.9
2017-07-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,51,58,0.10,10.0
2017-07-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,58,67,0.00,10.1
2017-07-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,57,65,0.00,10.1
2017-07-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,56,69,0.30,10.1
2017-07-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,55,64,0.20,10.4
