#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-12-01 to 2018-03-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment             Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches              N/A           PRCPSA        Snow adjusted total preciptation                                                                   
# Snow Depth                          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-12-01 to 2018-03-31
#
# As of: Sep 30, 2021 11:29:47 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment - Snow-adj (in),Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2017-12-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,8,11,0.00,6.7,0.00,7,1.5
2017-12-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,13,19,0.00,6.7,0.00,7,1.5
2017-12-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,14,26,0.00,6.7,0.00,7,1.5
2017-12-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,31,0.00,6.7,0.00,7,1.5
2017-12-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,31,33,0.00,6.7,0.00,7,1.5
2018-01-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,31,37,0.10,6.7,0.10,7,1.5
2018-01-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,38,42,0.00,6.8,0.00,7,1.5
2018-01-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,32,0.50,6.8,0.50,7,1.5
2018-01-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,22,27,0.00,7.3,0.00,12,2.0
2018-01-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,17,28,0.00,7.3,0.00,12,2.0
2018-01-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,25,29,0.00,7.3,0.00,11,2.0
2018-01-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,21,26,0.00,7.3,0.00,11,2.0
2018-01-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,12,15,0.00,7.3,0.00,10,2.0
2018-01-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,4,8,0.00,7.3,0.00,10,2.0
2018-01-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,16,25,0.00,7.3,0.00,9,2.0
2018-01-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,32,0.10,7.3,0.10,10,2.0
2018-01-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,34,37,0.00,7.4,0.00,11,2.0
2018-01-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,36,40,0.30,7.4,0.30,10,2.0
2018-01-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,35,41,0.00,7.7,0.00,10,2.1
2018-01-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,32,0.00,7.7,0.00,10,2.1
2018-01-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,36,43,0.10,7.7,0.10,10,2.1
2018-01-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,34,39,0.00,7.8,0.00,10,2.2
2018-01-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,30,0.00,7.8,0.00,10,2.2
2018-01-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,18,24,0.00,7.8,0.00,10,2.2
2018-01-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,8,19,0.00,7.8,0.00,10,2.2
2018-01-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,4,11,0.00,7.8,0.00,10,2.2
2018-01-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,15,27,0.00,7.8,0.00,10,2.2
2018-01-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,10,15,0.10,7.8,0.10,10,2.2
2018-01-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,2,6,0.00,7.9,0.00,12,2.3
2018-01-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,-3,3,0.10,7.9,0.10,12,2.3
2018-01-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,17,27,0.00,8.0,0.00,13,2.4
2018-01-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,14,22,0.00,8.0,0.00,13,2.4
2018-01-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,6,22,0.00,8.0,0.00,13,2.4
2018-01-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,3,18,0.00,8.0,0.00,13,2.4
2018-01-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,1,15,0.00,8.0,0.00,12,2.4
2018-01-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,5,23,0.00,8.0,0.00,12,2.4
2018-02-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,2,15,0.00,8.0,0.00,12,2.4
2018-02-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,1,18,0.00,8.0,0.00,11,2.4
2018-02-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,8,21,0.00,8.0,0.00,12,2.4
2018-02-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,5,20,0.00,8.0,0.00,12,2.4
2018-02-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,14,29,0.00,8.0,0.00,12,2.4
2018-02-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,25,31,0.00,8.0,0.00,12,2.4
2018-02-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,16,30,0.00,8.0,0.00,12,2.4
2018-02-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,9,28,0.10,8.0,0.10,12,2.4
2018-02-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,12,33,0.00,8.1,0.00,13,2.5
2018-02-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,23,30,0.10,8.1,0.20,12,2.5
2018-02-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,32,35,0.30,8.2,0.40,13,2.7
2018-02-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,30,32,0.60,8.5,0.60,15,3.1
2018-02-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,36,0.00,9.1,0.00,20,3.5
2018-02-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,31,0.10,9.1,0.10,19,3.5
2018-02-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,18,32,0.00,9.2,0.00,19,3.6
2018-02-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,15,28,0.00,9.2,0.00,19,3.6
2018-02-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,15,36,0.00,9.2,0.10,19,3.6
2018-02-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,36,0.00,9.2,0.00,19,3.7
2018-02-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,22,29,0.00,9.2,0.00,18,3.7
2018-02-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,22,35,0.00,9.2,0.00,18,3.7
2018-02-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,38,0.00,9.2,0.10,18,3.7
2018-02-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,40,0.30,9.2,0.30,18,3.8
2018-02-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,18,26,0.00,9.5,0.00,19,4.1
2018-02-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,16,20,0.10,9.5,0.20,19,4.1
2018-02-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,17,27,0.00,9.6,0.10,21,4.3
2018-02-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,29,0.70,9.6,0.70,21,4.4
2018-02-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,11,26,0.40,10.3,0.40,25,4.8
2018-02-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,6,14,0.00,10.7,0.00,29,5.2
2018-03-01,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,5,22,0.00,10.7,0.00,27,5.2
2018-03-02,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,18,27,0.00,10.7,0.00,26,5.2
2018-03-03,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,23,31,0.10,10.7,0.10,25,5.2
2018-03-04,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,15,28,0.00,10.8,0.00,26,5.3
2018-03-05,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,15,29,0.00,10.8,0.00,25,5.3
2018-03-06,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,18,26,0.10,10.8,0.20,25,5.3
2018-03-07,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,19,24,0.00,10.9,0.10,25,5.5
2018-03-08,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,25,29,0.40,10.9,0.40,25,5.6
2018-03-09,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,33,0.00,11.3,0.00,26,5.9
2018-03-10,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,27,37,0.00,11.3,0.00,25,5.9
2018-03-11,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,20,27,0.10,11.3,0.10,25,5.9
2018-03-12,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,36,0.00,11.4,0.00,26,6.0
2018-03-13,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,30,42,0.20,11.4,0.20,26,6.0
2018-03-14,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,28,32,0.00,11.6,0.00,27,6.1
2018-03-15,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,33,0.10,11.6,0.10,27,6.1
2018-03-16,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,35,37,0.20,11.7,0.20,27,6.1
2018-03-17,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,32,40,0.00,11.9,0.00,27,6.1
2018-03-18,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,32,37,0.00,11.9,0.00,26,6.1
2018-03-19,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,34,0.40,11.9,0.40,25,6.1
2018-03-20,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,33,0.00,12.3,0.00,27,6.5
2018-03-21,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,21,30,0.00,12.3,0.00,27,6.5
2018-03-22,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,17,32,0.00,12.3,0.10,27,6.5
2018-03-23,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,20,35,0.00,12.3,0.00,27,6.6
2018-03-24,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,19,36,0.10,12.3,0.10,26,6.6
2018-03-25,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,22,38,0.00,12.4,0.00,26,6.7
2018-03-26,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,25,37,0.00,12.4,0.00,26,6.7
2018-03-27,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,37,0.00,12.4,0.00,26,6.7
2018-03-28,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,29,33,0.00,12.4,0.00,26,6.7
2018-03-29,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,26,33,0.00,12.4,0.00,25,6.7
2018-03-30,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,24,35,0.00,12.4,0.00,26,6.7
2018-03-31,Anchorage Hillside,SNTL,1070,61.11483,-149.66683,2080,20,35,0.00,12.4,0.00,26,6.7
2017-12-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,14,17,0.10,3.8,,13,
2017-12-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,15,20,0.00,3.9,,12,
2017-12-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,21,0.00,3.9,,12,
2017-12-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,26,30,0.00,3.9,,12,
2017-12-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,0,0,0.00,3.9,,12,
2017-12-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,24,29,0.00,3.9,,12,
2017-12-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,21,33,0.30,3.9,,12,
2017-12-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,31,35,0.20,4.2,,14,
2017-12-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,25,30,0.00,4.4,,15,
2017-12-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,28,31,0.00,4.4,,13,
2017-12-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,28,31,0.00,4.4,,14,
2017-12-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,33,0.00,4.4,,14,
2017-12-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,31,35,0.00,4.4,,14,
2017-12-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,27,32,0.10,4.4,,14,
2017-12-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,24,29,0.00,4.5,,15,
2017-12-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,23,25,0.00,4.5,,14,
2017-12-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,17,20,0.00,4.5,,15,
2017-12-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,14,15,0.00,4.5,,15,
2017-12-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,0,0,0.00,4.5,,15,
2017-12-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,0,0,0.00,4.5,,15,
2017-12-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,33,0.10,4.5,,15,
2017-12-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,35,0.10,4.6,,16,
2017-12-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,34,44,0.00,4.7,,15,
2017-12-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,35,42,0.00,4.7,,15,
2017-12-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,23,29,0.00,4.7,,15,
2017-12-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,13,19,0.00,4.7,,15,
2017-12-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,9,15,0.00,4.7,,15,
2017-12-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,7,11,0.00,4.7,,15,
2017-12-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,5,9,0.00,4.7,,15,
2017-12-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,9,17,0.00,4.7,,15,
2017-12-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,21,25,0.00,4.7,,15,
2018-01-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,13,25,0.00,4.7,,15,
2018-01-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,24,29,0.00,4.7,,15,
2018-01-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,26,31,0.00,4.7,,14,
2018-01-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,24,0.00,4.7,,14,
2018-01-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,12,19,0.00,4.7,,14,
2018-01-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,7,15,0.00,4.7,,14,
2018-01-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,3,7,0.00,4.7,,14,
2018-01-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-14,-5,0.00,4.7,,14,
2018-01-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-10,5,0.00,4.7,,14,
2018-01-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-1,5,0.00,4.7,,14,
2018-01-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,7,12,0.00,4.7,,14,
2018-01-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,8,20,0.00,4.7,,14,
2018-01-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,30,0.00,4.7,,14,
2018-01-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,28,33,0.10,4.7,,14,
2018-01-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,31,34,0.00,4.8,,14,
2018-01-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,35,0.10,4.8,,14,
2018-01-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,31,0.00,4.9,,15,
2018-01-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,22,27,0.20,4.9,,17,
2018-01-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,11,16,0.00,5.1,,17,
2018-01-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-3,3,0.00,5.1,,17,
2018-01-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-14,-8,0.00,5.1,,17,
2018-01-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-15,-12,0.00,5.1,,17,
2018-01-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-17,-14,0.00,5.1,,17,
2018-01-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-21,-17,0.00,5.1,,17,
2018-01-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-21,-13,0.10,5.1,,17,
2018-01-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-14,-11,0.00,5.2,,18,
2018-01-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-10,-6,0.00,5.2,,22,
2018-01-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-5,6,0.00,5.2,,21,
2018-01-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-3,2,0.00,5.2,,21,
2018-01-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-8,0,0.00,5.2,,21,
2018-01-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-15,-12,0.00,5.2,,16,
2018-02-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-5,5,0.10,5.2,,14,
2018-02-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-1,3,0.00,5.3,,14,
2018-02-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,18,26,0.10,5.3,,14,
