"ntwk","wyear","state","site_name","ts","start","enddate","latitude","longitude","elev_ft","county","huc","site_id"
"SNOW","2008","AK","Middle Kuskowim","","2008-January","2017-October","  62.32","-156.15","    297","Yukon-koyukuk","190304050804-Kuskokwim River (190304050804)","SNOW:56N01"
"SNOW","2008","AK","N. Fork Kuskokwim","","2008-January","2017-October","  63.34","-153.88","    512","Yukon-koyukuk","Lake Creek-North Fork Kuskokwim River (190304011903)","SNOW:53O02"
"SNOW","2008","AK","Nixon Fork Kuskokwim","","2008-April","2017-October","  63.27","-155.62","    508","Yukon-koyukuk","190304030701 (190304030701)","SNOW:55O01"
"SNOW","2008","AK","Upper Aniak","","2008-February","2017-October","  60.85","-159.05","    781","Bethel","190305011604-Aniak River (190305011604)","SNOW:59L01"
"SNOW","2006","AK","Colville Bend","","2005-December","2100-January","  65.57","-157.26","    170","Yukon-koyukuk","Headwaters Three Day Slough (190901082306)","SNOW:57Q03"
"SNOW","2006","AK","Deer Creek","","2005-December","2100-January","  64.83","-155.11","    195","Yukon-koyukuk","Deer Creek (190902041107)","SNOW:55P01"
"SNOW","2006","AK","Huggins Creek","","2006-January","2100-January","  65.86","-154.51","    290","Yukon-koyukuk","Mathews Slough-Koyukuk River (190901080609)","SNOW:54Q02"
"SNOW","2006","AK","Little Mud River","","2005-December","2100-January","  64.73","-153.09","    855","Yukon-koyukuk","Headwaters Little Mud River (190902021701)","SNOW:53P01"
"SNOW","2006","AK","Lower Nowitna River","","2005-December","2100-January","  64.70","-154.54","    205","Yukon-koyukuk","190902022701-Nowitna River (190902022701)","SNOW:54P01"
"SNOW","2006","AK","Notch","","2006-January","2100-January","  61.01","-141.53","   2643","Valdez-cordova","Chitina Glacier-Chitina River (190201030303)","SNOW:41M01"
"SNOW","2006","AK","Treat Island","","2005-December","2100-January","  65.94","-156.18","    190","Yukon-koyukuk","Treat Island-Koyukuk River (190901081608)","SNOW:56Q01"
"SNOW","2005","AK","Cloverleaf","","2004-December","2100-January","  65.46","-157.06","    170","Yukon-koyukuk","Nogadaneoda Lake (190901082305)","SNOW:57Q02"
"SNOW","2005","AK","Jr Slough","","2005-January","2100-January","  65.05","-157.30","    160","Yukon-koyukuk","Long Stretch-Koyukuk River (190901091303)","SNOW:57Q01"
"SNOW","2005","AK","Kachemak Creek","","2005-April","2019-July","  59.73","-150.66","   1660","Kenai Peninsula","Bradley Lake (190203011101)","SNOW:50K07"
"SNOW","2005","AK","Long Glacier","","2004-December","2100-January","  61.82","-144.08","   4820","Valdez-cordova","Long Glacier (190201022808)","SNOW:44M03"
"SNOW","2005","AK","Ninemile Island","","2004-December","2100-January","  64.62","-158.24","    140","Yukon-koyukuk","Ninemile Island-Yukon River (190902051800)","SNOW:58P02"
"SNOW","2005","AK","Pike Trap Lake","","2004-December","2100-January","  64.39","-158.01","    130","Yukon-koyukuk","Tlatskokat Slough-Khotol River (190902052502)","SNOW:58P01"
"SNOW","2005","AK","Squirrel Creek","","2005-January","2100-January","  64.80","-157.84","    150","Yukon-koyukuk","Squirrel Creek (190902051305)","SNOW:57P01"
"SNOW","2005","AK","Tebay Lake","","2005-January","2100-January","  61.18","-144.34","   1930","Valdez-cordova","Tebay Lakes (190201032101)","SNOW:44M02"
"SNOW","2004","AK","Dunkle Hills","","2004-February","2100-January","  63.27","-149.54","   2700","Matanuska-susitna","Costello Creek (190205020309)","SNOW:49O02"
"SNOW","2003","AK","Crescent Creek","","2003-January","2100-January","  64.85","-143.94","   2600","Yukon-koyukuk","Middle Crescent Creek (190705061403)","SNOW:43P02"
"SNOW","2003","AK","Eldridge Glacier","","2002-December","2017-October","  63.05","-150.06","   3400","Matanuska-susitna","Sunset Peak (190205020506)","SNOW:50O02"
"SNOW","2003","AK","Halfway Slough","","2002-December","2017-June","  62.28","-150.18","    350","Matanuska-susitna","Twister Creek-Susitna River (190205050305)","SNOW:50N08"
"SNOW","2003","AK","Stampede","","2002-December","2017-October","  63.75","-150.33","   1800","Denali","Clearwater Fork (190803102407)","SNOW:50O03"
"SNOW","2003","AK","West Fork Yentna","","2003-February","2007-January","  62.52","-152.46","    950","Matanuska-susitna","Upper West Fork Yentna River (190205040407)","SNOW:52N02"
"SNOW","2002","AK","Cathedral Creek","","2001-December","2100-January","  65.17","-141.14","   1800","Southeast Fairbanks","Lower Cathedral Creek (190705060302)","SNOW:42Q02"
"SNOW","2002","AK","Coal Creek","","2002-January","2100-January","  65.31","-143.16","   1000","Yukon-koyukuk","Lower Coal Creek (190705061709)","SNOW:43Q02"
"SNOW","2002","AK","Copper Creek","","2002-January","2100-January","  64.87","-143.40","   2000","Southeast Fairbanks","Lower Copper Creek (190705061206)","SNOW:43P01"
"SNOW","2002","AK","Fisher Creek","","2002-February","2002-March","  65.67","-142.40","    800","Yukon-koyukuk","190801060103 (190801060103)","SNOW:42Q01"
"SNOW","2002","AK","Moose Creek Ranch","","2002-February","2013-March","  61.68","-149.04","    450","Matanuska-susitna","Moose Creek (190204020706)","SNOW:49M27"
"SNOW","2002","AK","Rocky Point","","2001-December","2100-January","  64.55","-163.48","    250","Nome","Golovnin Lagoon-Frontal Golovnin Bay (190501041103)","SNOW:63P01"
"SNOW","2002","AK","Step Mountain","","2001-December","2100-January","  65.46","-141.56","   2850","Southeast Fairbanks","190705060907 (190705060907)","SNOW:41Q02"
"SNOW","2002","AK","Tacoma Bluff","","2002-January","2007-June","  65.43","-143.56","    450","Yukon-koyukuk","190705061809-Yukon River (190705061809)","SNOW:43Q01"
"SNOW","2002","AK","Three Fingers","","2001-December","2100-January","  64.54","-143.15","   3350","Southeast Fairbanks","190705061102 (190705061102)","SNOW:43P03"
"SNOW","2001","AK","Pargon Creek","","2000-December","2100-January","  64.99","-163.10","    100","Nome","Slate Creek-Fish River (190501040905)","SNOW:63P02"
"SNOW","1999","AK","Bentalit Lodge","","1999-March","2013-April","  61.94","-150.98","    150","Matanuska-susitna","Fish Lake Creek (190205042001)","SNOW:50M05"
"SNOW","1999","AK","Graphite Lake","","1999-March","2100-January","  67.09","-143.41","    600","Yukon-koyukuk","Graphite Lake-Porcupine River (190801081100)","SNOW:43S03"
"SNOW","1999","AK","Kaldoyeit","","1999-January","2100-January","  66.54","-151.28","    750","Yukon-koyukuk","Clawanmenka Lake-Kanuti Chalatna Creek (190901040807)","SNOW:51R02"
"SNOW","1999","AK","Kanuti Chalatna","","1998-December","2100-January","  66.44","-152.20","    670","Yukon-koyukuk","Outlet Kanuti Chalatna Creek (190901040905)","SNOW:52R02"
"SNOW","1999","AK","Kanuti Kilolitna","","1998-December","2100-January","  66.14","-152.13","    550","Yukon-koyukuk","Outlet Kanuti Kilolitna River (190901040511)","SNOW:52R04"
"SNOW","1999","AK","Lower Beaver Creek","","1999-March","2100-January","  66.27","-146.51","    400","Yukon-koyukuk","190804021302-Beaver Creek (190804021302)","SNOW:46R02"
"SNOW","1999","AK","Minnkokut","","1998-December","2100-January","  66.58","-151.64","    580","Yukon-koyukuk","Minnkokut Lake (190901020805)","SNOW:51R03"
"SNOW","1999","AK","Nanwalek","","1999-February","2001-June","  59.36","-151.90","    500","Kenai Peninsula","Port Graham-Frontal Cook Inlet (190203011208)","SNOW:51K16"
"SNOW","1999","AK","Nolitna","","1998-December","2100-January","  66.25","-152.37","    560","Yukon-koyukuk","Lower Nolitna Creek (190901040604)","SNOW:52R03"
"SNOW","1999","AK","Port Graham","","1999-February","2014-April","  59.35","-151.85","    300","Kenai Peninsula","Port Graham-Frontal Cook Inlet (190203011208)","SNOW:51K15"
"SNOW","1999","AK","Taiholman","","1998-December","2014-August","  66.20","-151.64","    540","Yukon-koyukuk","Taiholman Lake (190901040706)","SNOW:51R04"
"SNOW","1999","AK","Vunzik Lake","","1998-December","2100-January","  66.80","-146.70","    500","Yukon-koyukuk","Vunzik Lake (190804030204)","SNOW:46R03"
"SNOW","1996","AK","Grouch Creek","","1996-March","2017-October","  63.33","-157.81","    220","Yukon-koyukuk","190903031204 (190903031204)","SNOW:57O01"
"SNOW","1996","AK","Holikachuk","","1996-March","2017-January","  62.92","-159.22","    100","Yukon-koyukuk","190903032602 (190903032602)","SNOW:59N01"
"SNOW","1996","AK","Horsefly Creek","","1996-March","2017-October","  62.93","-157.87","    180","Yukon-koyukuk","Horsefly Creek (190903031805)","SNOW:57N02"
"SNOW","1996","AK","Innoko Inn","","1996-March","2013-June","  63.64","-158.03","    200","Yukon-koyukuk","190903031103-Innoko River (190903031103)","SNOW:58O04"
"SNOW","1996","AK","Menotl Creek","","1996-March","2017-October","  63.69","-158.82","    380","Yukon-koyukuk","Menotl Creek (190903030703)","SNOW:58O01"
"SNOW","1996","AK","Middle Innoko","","1996-March","2100-January","  63.30","-158.49","    150","Yukon-koyukuk","190903032402-Innoko River (190903032402)","SNOW:58O02"
"SNOW","1996","AK","Tazlina","","1996-February","2100-January","  62.04","-145.43","   1250","Valdez-cordova","Lower Tazlina River (190201021608)","SNOW:45N03"
"SNOW","1996","AK","Upper Innoko","","1996-March","2100-January","  63.70","-156.92","    180","Yukon-koyukuk","190903021501-Innoko River (190903021501)","SNOW:56O01"
"SNOW","1996","AK","Wapoo Hills","","1996-March","2100-January","  63.70","-157.63","    220","Yukon-koyukuk","Outlet Mud River (190903030609)","SNOW:57O02"
"SNOW","1996","AK","Yankee Slough","","1996-March","2100-January","  63.26","-159.57","    100","Yukon-koyukuk","190903032506 (190903032506)","SNOW:59O03"
"SNOW","1996","AK","Yetna River","","1996-March","2017-October","  62.94","-158.44","    120","Yukon-koyukuk","Upper Yetna River (190903032102)","SNOW:58O03"
"SNOW","1995","AK","Brooks Camp","","1994-November","2015-June","  58.54","-155.78","    150","Lake And Peninsula","Naknek Lake (190302041006)","SNOW:55J01"
"SNOW","1995","AK","Curtis Lake","","1994-December","2100-January","  62.30","-146.99","   2850","Matanuska-susitna","Curtis Lake (190205010902)","SNOW:46N05"
"SNOW","1995","AK","Kantishna","","1995-March","2100-January","  63.54","-150.99","   1550","Denali","Eldorado Creek-Moose Creek (190803101804)","SNOW:50O01"
"SNOW","1995","AK","Three Forks","","1994-December","2015-June","  58.37","-155.39","   1300","Lake And Peninsula","River Lethe (190302040703)","SNOW:55J02"
"SNOW","1995","AK","Upper Oshetna River","","1994-December","2100-January","  62.33","-147.33","   3150","Matanuska-susitna","Upper Sanona Creek (190205011004)","SNOW:47N07"
"SNOW","1995","AK","Upper Sanona Creek","","1995-January","2100-January","  62.33","-147.28","   3100","Matanuska-susitna","Middle Sanona Creek (190205011005)","SNOW:47N06"
"SNOW","1995","AK","Ward Lake","","1995-January","2007-May","  62.45","-147.16","   2700","Matanuska-susitna","Lower Sanona Creek (190205011007)","SNOW:47N05"
"SNOW","1994","AK","Edgar Creek","","1994-February","2017-October","  63.59","-148.02","   2400","Denali","190803080504-Yanert Fork (190803080504)","SNOW:48O04"
"SNOW","1994","AK","Gold King","","1994-February","2017-October","  64.20","-147.92","   1700","Denali","Bonnifield Creek (190803071704)","SNOW:47P05"
"SNOW","1994","AK","Lake Grace Pass","","1994-January","2017-October","  55.67","-131.10","   1900","Ketchikan Gateway","Falls Creek (190101020502)","SNOW:31G09"
"SNOW","1994","AK","Mint Creek Ridge","","1994-January","2017-October","  55.63","-131.22","   1900","Ketchikan Gateway","Falls Creek (190101020502)","SNOW:31G05"
"SNOW","1994","AK","Ptarmigan Airstrip","","1994-February","2017-October","  63.80","-146.47","   2400","Southeast Fairbanks","Upper Delta Creek (190803070405)","SNOW:46O08"
"SNOW","1994","AK","Upper Swan Lake","","1994-January","2017-October","  55.60","-131.26","   1700","Ketchikan Gateway","Falls Creek (190101020502)","SNOW:31G10"
"SNOW","1994","AK","Upper Wood River","","1994-February","2017-October","  63.76","-147.95","   2990","Denali","Grizzly Creek- Wood River (190803071604)","SNOW:47O12"
"SNOW","1993","AK","Chisana","","1993-January","2100-January","  62.07","-142.05","   3320","Valdez-cordova","Red Hill Creek-Chisana River (190803010305)","SNOW:42N01"
"SNOW","1993","AK","Chokosna","","1993-January","2100-January","  61.46","-143.83","   1550","Valdez-cordova","Lower Kuskulana River (190201032207)","SNOW:43M01"
"SNOW","1993","AK","Jatahmund Lake","","1992-December","2100-January","  62.62","-141.97","   2180","Southeast Fairbanks","Jatahmund Lake (190803011505)","SNOW:41N01"
"SNOW","1993","AK","Licking Creek","","1993-February","1999-December","  55.58","-131.32","   1050","Ketchikan Gateway","Calamity Creek-Frontal Carroll Inlet (190101020503)","SNOW:31G08"
"SNOW","1993","AK","Lost Creek","","1993-February","2100-January","  62.51","-143.17","   3030","Valdez-cordova","Chalk Creek (190803011204)","SNOW:43N02"
"SNOW","1993","AK","Lost Lake","","1993-February","2013-May","  55.65","-131.21","    425","Ketchikan Gateway","Falls Creek (190101020502)","SNOW:31G07"
"SNOW","1993","AK","May Creek","","1993-January","2016-April","  61.35","-142.69","   1610","Valdez-cordova","May Creek (190201031806)","SNOW:42M01"
"SNOW","1993","AK","Mt. Reid Pass","","1993-January","2000-June","  55.70","-131.18","   1660","Ketchikan Gateway","Falls Creek (190101020502)","SNOW:31G06"
"SNOW","1993","AK","Paradise Hill","","1992-December","2100-January","  62.80","-141.29","   2200","Southeast Fairbanks","Sweetwater Creek (190803011604)","SNOW:41N02"
"SNOW","1993","AK","Upper Twin Lakes","","1993-January","2100-January","  60.65","-153.80","   2000","Lake And Peninsula","Twin Lakes (190303020304)","SNOW:53L02"
"SNOW","1992","AK","Fishtrap Lake","","1992-February","2100-January","  60.49","-154.33","   1800","Lake And Peninsula","Little Mulchatna River (190303020502)","SNOW:54L02"
"SNOW","1992","AK","Fossil","","1992-February","2100-January","  65.46","-147.61","   1400","Yukon-koyukuk","Fossil Creek (190804020501)","SNOW:47Q10"
"SNOW","1992","AK","Kallarichuk","","1992-February","1995-December","  67.83","-159.80","    100","Northwest Arctic","Kanaktok Creek (190503031402)","SNOW:59S01"
"SNOW","1992","AK","Kinkaid Park","","1992-March","2100-January","  61.16","-150.04","    250","Anchorage","Knik Arm-Frontal Cook Inlet (190204010808)","SNOW:50M04"
"SNOW","1992","AK","Port Alsworth","","1992-February","2100-January","  60.19","-154.33","    270","Lake And Peninsula","Tanalian River (190302050705)","SNOW:54L01"
"SNOW","1992","AK","Rock Creek Bottom","","1992-May","2100-January","  63.72","-148.97","   2250","Denali","Hines Creek (190803080708)","SNOW:48O03"
"SNOW","1992","AK","Rock Creek Ridge","","1992-May","2016-June","  63.73","-148.98","   2600","Denali","Hines Creek (190803080708)","SNOW:48O02"
"SNOW","1992","AK","Telaquana Lake","","1992-March","2100-January","  60.98","-153.92","   1550","Bethel","Upper Telaquana River (190304052303)","SNOW:53L01"
"SNOW","1992","AK","Two Lakes","","1992-January","1996-December","  61.02","-153.33","   1150","Kenai Peninsula","Upper Neacola River (190206010702)","SNOW:53M01"
"SNOW","1992","AK","Windy Gap","","1992-February","2100-January","  65.57","-147.42","   1900","Yukon-koyukuk","Fossil Creek (190804020501)","SNOW:47Q08"
"SNOW","1992","AK","Wolf","","1992-February","2100-January","  65.55","-147.67","   1200","Yukon-koyukuk","Windy Creek (190804020504)","SNOW:47Q09"
"SNOW","1991","AK","Borealis","","1991-February","2100-January","  65.38","-147.74","   1330","Yukon-koyukuk","190804020409-Beaver Creek (190804020409)","SNOW:47Q07"
"SNOW","1991","AK","Makpik Creek","","1991-May","1995-December","  68.07","-158.58","   1100","Northwest Arctic","Lower Makpik Creek (190504011607)","SNOW:58T01"
"SNOW","1991","AK","Nuka Glacier","","1991-February","2100-January","  59.70","-150.71","   1250","Kenai Peninsula","Bradley Lake (190203011101)","SNOW:50K06"
"SNOW","1991","AK","Summit Creek","","1991-January","2018-January","  60.62","-149.53","   1400","Kenai Peninsula","Headwaters Canyon Creek (190203020401)","SNOW:49L19"
"SNOW","1990","AK","Kelly Station","","1990-February","1995-December","  67.93","-162.30","    310","Northwest Arctic","Outlet Kelly River (190504030705)","SNOW:62S01"
"SNOW","1990","AK","Krusenstern","","1990-February","1995-December","  67.37","-163.48","    190","Northwest Arctic","190504031302 (190504031302)","SNOW:63S01"
"SNOW","1990","AK","Kugarak Camp","","1990-May","2016-May","  66.72","-158.80","    100","Northwest Arctic","190503011606-Kugarak River (190503011606)","SNOW:58R01"
"SNOW","1990","AK","Lost Chicken Hill","","1990-April","2100-January","  64.06","-141.92","   2150","Southeast Fairbanks","Outlet Mosquito Fork (190705021308)","SNOW:41P05"
"SNOW","1990","AK","Sisiak Creek","","1990-February","1995-December","  67.97","-160.40","   1200","Northwest Arctic","Isaoktuvik Creek (190504021202)","SNOW:60S01"
"SNOW","1989","AK","Exit Glacier","","1989-January","2100-January","  60.19","-149.62","    400","Kenai Peninsula","Oulet Resurrection River (190202020508)","SNOW:49L18"
"SNOW","1989","AK","Faith Creek","","1989-February","2100-January","  65.30","-146.36","   1750","Fairbanks North Star","Cripple Creek-Chatanika River (190803090505)","SNOW:46Q06"
"SNOW","1989","AK","Independence Mine","","1989-February","2100-January","  61.79","-149.28","   3550","Matanuska-susitna","Fishhook Creek-Little Susitna River (190205051202)","SNOW:49M26"
"SNOW","1989","AK","Little Nelchina","","1988-December","2100-January","  61.98","-147.00","   2650","Matanuska-susitna","Middle Nelchina River (190201021004)","SNOW:46M06"
"SNOW","1989","AK","Mission Creek","","1988-December","2016-May","  64.79","-141.21","    900","Southeast Fairbanks","Buckeye Creek-Yukon River (190705051301)","SNOW:41P06"
"SNOW","1989","AK","Moore Creek Bridge","","1989-January","2100-January","  59.59","-135.19","   2250","Skagway","West Creek (190103030203)","SNOW:35K02"
"SNOW","1989","AK","Ptarmigan Creek","","1989-March","2100-January","  65.43","-145.55","   2270","Yukon-koyukuk","Bear Creek-Birch Creek (190804010204)","SNOW:45Q03"
"SNOW","1989","AK","Stack Pup Creek","","1989-March","2100-January","  65.55","-145.14","   1620","Yukon-koyukuk","Bedrock Creek-Crooked Creek (190804010804)","SNOW:45Q04"
"SNOW","1988","AK","Blueberry Hill","","1988-February","2100-January","  62.80","-149.98","   1200","Matanuska-susitna","Byers Creek (190205020603)","SNOW:49N07"
"SNOW","1988","AK","Chuathbaluk","","1988-February","1996-December","  61.58","-159.23","    300","Bethel","Town of Chuachbaiuk-Kuskokwim River (190305012408)","SNOW:59M01"
"SNOW","1988","AK","Denali View","","1988-February","2100-January","  62.60","-150.23","    700","Matanuska-susitna","Blair Lake-Chulitna River (190205021002)","SNOW:50N06"
"SNOW","1988","AK","E. Fork Chulitna","","1988-February","2100-January","  63.14","-149.43","   1770","Matanuska-susitna","Outlet East Fork Chulitna River (190205020204)","SNOW:49O01"
"SNOW","1988","AK","North Pole School","","1988-February","1992-December","  64.75","-147.33","    500","Fairbanks North Star","Chena Slough (190803060904)","SNOW:47P04"
"SNOW","1988","AK","Susitna Valley High","","1988-January","2014-May","  62.13","-150.05","    375","Matanuska-susitna","Little Montana Creek-Montana Creek (190205050105)","SNOW:50N07"
"SNOW","1987","AK","Mcneil Canyon","","1987-February","2014-April","  59.75","-151.26","   1320","Kenai Peninsula","Swift Creek-Frontal Kachemak Bay (190203010806)","SNOW:51K14"
"SNOW","1985","AK","Birch Creek","","1985-April","1986-December","  66.33","-146.08","    400","Yukon-koyukuk","Canvasback Lake-Lower Mouth Birch Creek (190804011706)","SNOW:46R01"
"SNOW","1985","AK","Chistochina","","1985-February","2100-January","  62.61","-144.63","   1950","Valdez-cordova","Outlet Chistochina River (190201011208)","SNOW:44N01"
"SNOW","1985","AK","Dadina Lake","","1984-December","2100-January","  61.85","-144.80","   2160","Valdez-cordova","190201022905-Copper River (190201022905)","SNOW:44M01"
"SNOW","1985","AK","Kwittevunkud Lake","","1985-April","1989-December","  67.28","-144.80","   1000","Yukon-koyukuk","Kwittevunkud Lake (190802030502)","SNOW:44S02"
"SNOW","1985","AK","Monsoon Lake","","1985-February","2100-January","  62.83","-146.63","   3100","Matanuska-susitna","Headwaters West Fork Gulkana River (190201020501)","SNOW:46N03"
"SNOW","1985","AK","Sugarloaf Mountain","","1985-February","2100-January","  61.08","-146.30","    550","Valdez-cordova","Solomon Gulch (190202011101)","SNOW:46M04"
"SNOW","1985","AK","Tolsona Creek","","1985-February","2100-January","  62.10","-146.05","   2000","Valdez-cordova","Lower Tolsona Creek (190201021405)","SNOW:46N04"
"SNOW","1985","AK","Twin Lakes","","1985-February","2100-January","  61.92","-146.91","   2400","Valdez-cordova","Middle Nelchina River (190201021004)","SNOW:46M03"
"SNOW","1984","AK","Gerstle River","","1984-February","2100-January","  63.90","-144.92","   1200","Southeast Fairbanks","Outlet Gerstle River (190803031206)","SNOW:44O02"
"SNOW","1984","AK","Middle Fork Bradley","","1984-February","2013-May","  59.78","-150.76","   2300","Kenai Peninsula","Bradley River (190203011102)","SNOW:50K05"
"SNOW","1983","AK","Finger Lake","","1983-February","1987-December","  60.65","-150.88","    250","Kenai Peninsula","Mink Creek (190203020805)","SNOW:50L03"
"SNOW","1983","AK","Heartbreak Hill","","1983-February","1987-June","  61.18","-151.38","    750","Kenai Peninsula","Middle Chuitna River (190206011804)","SNOW:51M09"
"SNOW","1983","AK","Hunt Creek","","1983-February","1987-June","  61.18","-151.47","   1000","Kenai Peninsula","Lone Ridge (190206011803)","SNOW:51M08"
"SNOW","1983","AK","Lone Creek","","1983-February","1987-June","  61.17","-151.32","    500","Kenai Peninsula","Lone Creek (190206011805)","SNOW:51M10"
"SNOW","1983","AK","Lone Ridge","","1983-February","2100-January","  61.24","-151.47","   1675","Kenai Peninsula","Chuit Creek (190206011801)","SNOW:51M07"
"SNOW","1983","AK","Mystery Creek","","1983-February","1987-December","  60.63","-150.27","    530","Kenai Peninsula","Upper Moose River (190203021601)","SNOW:50L04"
"SNOW","1983","AK","Willow Lake","","1983-February","1986-December","  60.73","-150.55","    250","Kenai Peninsula","Swan Creek (190203020803)","SNOW:50L05"
"SNOW","1982","AK","Anchorage Hillside","","1982-February","2012-May","  61.11","-149.68","   2080","Anchorage","South Fork Campbell Creek (190204010601)","SNOW:49M22"
"SNOW","1982","AK","Anvik River","","1982-March","1990-December","  63.58","-160.13","   1150","Yukon-koyukuk","Headwaters Anvik River (190903010902)","SNOW:60O03"
"SNOW","1982","AK","Archangel Road","","1982-February","2100-January","  61.79","-149.20","   2200","Matanuska-susitna","Archangel Creek (190205051201)","SNOW:49M25"
"SNOW","1982","AK","Capps Plateau","","1982-February","1988-December","  61.25","-151.80","   2750","Kenai Peninsula","Upper Chuitna River (190206011802)","SNOW:51M06"
