Data for June 1, 2017 through August 31, 2017

Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt
EAGLE RIVER 1S, COOP, -149.559, 61.308, 250, 51.7, 1, 0, 1, 0, 1, M, 92
BEN'S FARM, COOP, -149.154, 61.563, 127, 58.0, 0, 0, 0, 0, 0, M, 92
MATANUSKA EXPERIMENTAL FARM, WBAN, -149.254, 61.566, 172, 57.1, 0, 0, 0, 0, 0, 6.28, 0
PALMER JOB CORPS, COOP, -149.099, 61.589, 216, 59.3, 0, 0, 0, 0, 0, 0.66, 0
PALMER AIRPORT, WBAN, -149.092, 61.596, 230, 57.1, 0, 0, 0, 0, 0, 5.51, 0
LITTLE SU AT HATCHER PASS BRIDGE, COOP, -149.232, 61.710, 902, 54.9, 10, 0, 10, 0, 10, 8.36, 9
GENNALLEN KCAM, COOP, -145.533, 62.109, 1383, 56.8, 0, 2, 0, 2, 0, 3.38, 0
MONTANA CREEK, COOP, -150.059, 62.104, 245, 58.0, 1, 1, 1, 1, 1, M, 92
PUNTILLA, WBAN, -152.735, 62.091, 1858, 54.6, 14, 0, 14, 0, 14, 5.06, 14
GULKANA AIRPORT, WBAN, -145.459, 62.159, 1562, 56.8, 0, 2, 0, 2, 0, 3.25, 0
TALKEETNA AIRPORT, WBAN, -150.095, 62.320, 350, 58.4, 0, 1, 0, 1, 0, 8.02, 0
CHULITNA RIVER, COOP, -149.906, 62.826, 1354, 52.1, 25, 0, 25, 0, 25, 8.13, 5
NORTHWAY AIRPORT, WBAN, -141.988, 62.962, 1713, 57.7, 0, 3, 0, 3, 0, 7.09, 0
MC GRATH ON KUSKOKWIM RIV, COOP, -155.590, 62.958, 300, 60.0, 4, 2, 4, 2, 4, 7.17, 4
MCGRATH AP, WBAN, -155.610, 62.957, 333, 59.6, 0, 2, 0, 2, 0, 7.37, 0
TOK SCHOOL, COOP, -142.958, 63.333, 1635, 59.2, 4, 8, 4, 9, 4, 3.25, 10
TOK, COOP, -143.037, 63.334, 1625, 59.2, 4, 8, 4, 9, 4, 3.25, 10
EIELSON VISITOR CENTER, COOP, -150.312, 63.426, 3761, 50.2, 2, 0, 2, 0, 2, M, 92
WONDER LAKE, COOP, -150.870, 63.490, 2100, 57.0, 7, 1, 7, 1, 7, 9.10, 7
BIG DELTA AIRPORT, WBAN, -145.721, 63.994, 1277, 60.1, 0, 4, 0, 4, 0, 7.42, 0
CHICKEN, COOP, -141.921, 64.092, 1800, 54.8, 5, 4, 5, 5, 5, 6.90, 2
KALTAG AP, WBAN, -158.742, 64.327, 181, 58.2, 0, 2, 0, 2, 0, 6.00, 0
NOME AIRPORT, WBAN, -165.440, 64.511, 13, 51.6, 0, 0, 0, 0, 0, 6.87, 0
NENANA MUN AP, COOP, -149.096, 64.546, 358, 61.1, 0, 3, 0, 3, 0, 5.82, 1
EAGLE, WBAN, -141.204, 64.786, 850, 59.6, 0, 11, 0, 12, 0, 5.84, 0
NORTH POLE, COOP, -147.325, 64.758, 475, 60.2, 0, 5, 0, 5, 0, 6.60, 0
FAIRBANKS INTL AP, WBAN, -147.876, 64.804, 432, 62.4, 0, 4, 0, 4, 0, 5.82, 0
FAIRBANKS 9 ENE, COOP, -147.249, 64.887, 530, 59.4, 5, 2, 5, 2, 5, M, 92
UNIVERSITY EXPERIMENTAL STATION, WBAN, -147.861, 64.857, 475, 62.2, 2, 7, 2, 8, 2, 7.51, 2
COLLEGE OBSERVATORY, WBAN, -147.848, 64.860, 597, 60.9, 4, 4, 4, 5, 4, 7.17, 0
FAIRBANKS 39 ENE, COOP, -146.409, 64.899, 740, 56.7, 2, 0, 2, 0, 2, M, 92
GILMORE CREEK, COOP, -147.521, 64.977, 945, 58.6, 9, 4, 9, 5, 9, 8.92, 9
TANANA AIRPORT, WBAN, -152.107, 65.175, 222, 59.3, 0, 2, 0, 2, 0, 5.81, 0
CIRCLE HOT SPRINGS, WBAN, -144.642, 65.494, 860, 56.8, 0, 4, 0, 4, 0, 7.12, 0
PROSPECT CREEK, WBAN, -150.669, 66.824, 955, 54.3, 5, 2, 5, 2, 5, M, 92
KOTZEBUE AIRPORT, WBAN, -162.633, 66.867, 30, 52.8, 0, 0, 0, 0, 0, 4.38, 0
BETTLES AIRPORT, WBAN, -151.519, 66.918, 634, 58.5, 0, 3, 0, 3, 0, 6.81, 0
BARTER ISLAND WSO AP, WBAN, -143.577, 70.134, 2, 43.7, 25, 0, 25, 0, 25, 0.65, 68
DEADHORSE, WBAN, -148.477, 70.192, 61, 44.7, 1, 0, 0, 0, 0, T, 12
BARROW AIRPORT, WBAN, -156.781, 71.283, 31, 40.4, 0, 0, 0, 0, 0, 3.56, 0
MAIN BAY, COOP, -148.093, 60.518, 57, 53.7, 1, 0, 1, 0, 1, 46.64, 1
KUPARUK, COOP, -149.611, 70.329, 64, 45.4, 0, 0, 0, 0, 0, 2.84, 0
MCCARTHY 3 SW, COOP, -142.996, 61.418, 1250, 55.7, 0, 2, 0, 2, 0, 7.49, 0
PORT SAN JUAN, COOP, -148.067, 60.050, 40, 54.4, 0, 0, 0, 0, 0, 22.25, 0
ANNETTE AIRPORT, WBAN, -131.579, 55.039, 109, 58.3, 0, 2, 0, 2, 0, 22.71, 0
COLD BAY AIRPORT, WBAN, -162.732, 55.221, 78, 50.7, 0, 0, 0, 0, 0, 9.56, 0
BEAVER FALLS, WBAN, -131.697, 55.357, 35, 58.1, 0, 0, 0, 0, 0, 39.85, 0
KETCHIKAN CARLANNA CREEK, COOP, -131.700, 55.350, 330, 50.8, 17, 0, 0, 0, 0, M, 92
HOLLIS, COOP, -132.622, 55.491, 30, 55.7, 1, 1, 0, 1, 0, 17.63, 0
CRAIG, WBAN, -133.141, 55.477, 43, 56.0, 1, 0, 0, 0, 0, 20.52, 0
PORT ALEXANDER, WBAN, -134.645, 56.247, 12, 52.9, 34, 0, 31, 0, 31, 21.60, 31
LITTLE PORT WALTER, WBAN, -134.650, 56.383, 14, 51.6, 16, 0, 9, 0, 9, 50.22, 4
SITKA AIRPORT, WBAN, -135.365, 57.048, 14, 56.0, 1, 1, 1, 1, 1, 16.83, 0
SAINT PAUL ISLAND AIRPORT, WBAN, -170.222, 57.155, 35, 47.7, 0, 0, 0, 0, 0, 6.87, 0
DELTA JUNCTION 20 SE, COOP, -145.105, 63.965, 1125, 58.1, 0, 4, 0, 4, 0, 6.80, 0
HOUSTON, COOP, -149.801, 61.631, 270, 58.4, 34, 0, 34, 0, 34, 66.85, 18
LAZY MOUNTAIN, COOP, -149.036, 61.627, 733, 54.0, 0, 0, 0, 0, 0, 6.02, 0
PORT ALCAN, COOP, -141.006, 62.621, 1892, 55.9, 1, 1, 1, 1, 1, 11.07, 0
AMBLER, COOP, -157.850, 67.083, 120, 55.5, 0, 0, 0, 0, 0, M, 92
KENAI KEYS-RIVER, COOP, -150.617, 60.483, 125, M, 92, M, 92, M, 92, 7.23, 10
PALMER-MAT RVR, COOP, -149.073, 61.609, 171, 56.0, 2, 0, 2, 0, 2, M, 92
KALGIN ISLAND, COOP, -151.917, 60.450, 30, 59.1, 4, 2, 4, 2, 4, M, 92
KOYUK, COOP, -161.150, 64.933, 60, 55.8, 2, 1, 2, 1, 2, M, 92
EAGLE RIVER 5 SE, COOP, -149.440, 61.297, 498, 57.9, 11, 0, 11, 0, 11, 1.95, 11
HAINES 40NW, COOP, -136.361, 59.450, 820, 54.3, 0, 2, 0, 2, 0, 7.27, 0
FORT RICHARDSON WATER TREATMENT PLANT, COOP, -149.650, 61.227, 470, 54.1, 1, 0, 1, 0, 1, 3.62, 1
HOMER 17 E, COOP, -151.167, 59.767, 1000, 48.2, 3, 0, 3, 0, 3, M, 92
HIDDEN FALLS HATCHERY, COOP, -134.877, 57.218, 22, M, 92, 0, 71, 0, 71, 22.77, 0
TWO RIVERS, COOP, -146.954, 64.866, 605, 60.9, 2, 7, 2, 8, 2, M, 92
DELTA 6 N, COOP, -145.751, 64.117, 1059, 57.1, 0, 3, 0, 3, 0, 9.40, 0
DRY CREEK, COOP, -144.604, 63.675, 1355, 57.6, 2, 3, 2, 3, 2, 10.85, 2
KEYSTONE RIDGE, COOP, -148.271, 64.916, 1600, 59.6, 0, 1, 0, 1, 0, 9.56, 0
COLVILLE VILLAGE, COOP, -150.409, 70.432, 5, 43.1, 0, 0, 0, 0, 0, 3.71, 0
FOX 2 SE, COOP, -147.626, 64.959, 775, 58.2, 0, 2, 0, 2, 0, 10.04, 0
GALENA, COOP, -156.875, 64.741, 152, 57.7, 9, 0, 9, 0, 9, 4.95, 13
SITKA WATER TREATMENT PLANT, COOP, -135.350, 57.047, 35, M, 92, M, 92, M, 92, 17.14, 2
CLEAR SKY, COOP, -149.183, 64.245, 646, 60.0, 0, 4, 0, 4, 0, 8.90, 0
SAND POINT 1 ENE, WBAN, -160.466, 55.347, 240, 51.3, 1, 0, 1, 0, 1, 9.37, 0
PORT ALSWORTH 1 SW, WBAN, -154.320, 60.195, 321, 54.9, 1, 0, 1, 0, 1, 6.51, 0
TOK #2, COOP, -143.006, 63.316, 1658, 58.6, 0, 8, 0, 9, 0, 8.94, 0
FORTY MILE RIVER AT TAYLOR HIGHWAY, COOP, -141.409, 64.309, 1252, 58.4, 2, 10, 2, 11, 2, M, 92
GOLDSTREAM CREEK, COOP, -147.875, 64.894, 577, 56.4, 0, 2, 0, 2, 0, 8.26, 0
EAGLE RIVER 2.6 ESE, CoCoRaHS, -149.496, 61.312, 799, M, 92, M, 92, M, 92, 6.38, 4
EAGLE RIVER GAKONA CIRCLE, COOP, -149.543, 61.319, 567, 55.5, 0, 0, 0, 0, 0, 6.06, 0
POINT BAKER, COOP, -133.626, 56.351, 20, 53.2, 9, 0, 7, 0, 7, 14.93, 6
HYDER, COOP, -130.026, 55.916, 80, 57.4, 1, 2, 1, 2, 1, 15.38, 1
FAIRBANKS 11 NE, WBAN, -147.510, 64.974, 1140, 59.4, 1, 1, 1, 1, 1, 7.87, 0
AURORA, COOP, -147.722, 64.855, 443, 61.5, 0, 3, 0, 3, 0, 7.78, 0
KETCHIKAN AIRPORT, WBAN, -131.721, 55.360, 80, 56.9, 0, 0, 0, 0, 0, 46.99, 0
SOLDOTNA 5SSW, COOP, -151.134, 60.419, 180, 53.2, 1, 0, 0, 0, 0, 7.21, 0
MONTANA CREEK DOT, COOP, -146.086, 65.360, 2300, 53.3, 5, 0, 5, 0, 5, M, 92
MONASHKA CREEK DAM, COOP, -152.458, 57.843, 130, 49.7, 0, 0, 0, 0, 0, 27.60, 0
KODIAK WWTP, COOP, -152.356, 57.805, 54, 52.3, 2, 0, 2, 0, 2, 18.56, 2
Kodiak Area, ThreadEx, -, -, -, 53.6, 0, 0, 0, 0, 0, 19.92, 0
King Salmon Area, ThreadEx, -, -, -, 55.7, 0, 0, 0, 0, 0, 7.77, 0
Anchorage Area, ThreadEx, -, -, -, 57.7, 0, 0, 0, 0, 0, 7.10, 0
Annette Area, ThreadEx, -, -, -, 58.3, 0, 2, 0, 2, 0, 22.71, 0
Bethel Area, ThreadEx, -, -, -, 55.7, 2, 0, 0, 0, 0, 10.03, 0
Delta Junction Area, ThreadEx, -, -, -, 60.1, 0, 4, 0, 4, 0, 7.42, 0
Barrow Area, ThreadEx, -, -, -, 40.4, 0, 0, 0, 0, 0, 3.56, 0
Bettles Area, ThreadEx, -, -, -, 58.5, 0, 3, 0, 3, 0, 6.81, 0
Cold Bay Area, ThreadEx, -, -, -, 50.7, 0, 0, 0, 0, 0, 9.56, 0
Fairbanks Area, ThreadEx, -, -, -, 62.4, 0, 4, 0, 4, 0, 5.82, 0
Gulkana Area, ThreadEx, -, -, -, 56.8, 0, 2, 0, 2, 0, 3.25, 0
Homer Area, ThreadEx, -, -, -, 55.5, 0, 0, 0, 0, 0, 4.42, 0
Juneau Area, ThreadEx, -, -, -, 55.2, 0, 0, 0, 0, 0, 19.36, 0
Mcgrath Area, ThreadEx, -, -, -, 59.6, 0, 2, 0, 2, 0, 7.37, 0
Nome Area, ThreadEx, -, -, -, 51.6, 0, 0, 0, 0, 0, 6.87, 0
Kotzebue Area, ThreadEx, -, -, -, 52.8, 0, 0, 0, 0, 0, 4.38, 0
St Paul Island Area, ThreadEx, -, -, -, 47.7, 0, 0, 0, 0, 0, 6.87, 0
Talkeetna Area, ThreadEx, -, -, -, 58.4, 0, 1, 0, 1, 0, 8.02, 0
Yakutat Area, ThreadEx, -, -, -, 54.5, 0, 0, 0, 0, 0, 28.57, 0
ANCHORAGE UPPER DE ARMOUN, COOP, -149.717, 61.103, 1335, 54.7, 0, 0, 0, 0, 0, 6.68, 0
ST. PAUL 4 NE, WBAN, -170.212, 57.158, 20, 47.3, 1, 0, 1, 0, 1, 6.92, 1
SITKA 1 NE, WBAN, -135.327, 57.057, 78, 54.4, 1, 0, 1, 0, 1, 19.96, 0
ANCHORAGE RABBIT CREEK #2, COOP, -149.756, 61.088, 913, 53.8, 0, 0, 0, 0, 0, 5.37, 13
MANLEY HOT SPRINGS DOT, COOP, -150.613, 65.007, 345, 61.0, 5, 10, 5, 11, 5, M, 92
AMBER LAKE, COOP, -150.503, 62.193, 449, 58.5, 3, 4, 3, 4, 3, 10.11, 4
MANLEY HOT SPRINGS 15NE, COOP, -150.228, 65.123, 501, 58.8, 0, 7, 0, 8, 0, 6.92, 0
PAXSON 10.8 SSE, CoCoRaHS, -145.517, 62.939, 2595, M, 92, M, 92, M, 92, 1.39, 85
WILLOW 3.6 SE, CoCoRaHS, -149.990, 61.699, 304, M, 92, M, 92, M, 92, 5.05, 22
EDNA BAY 1.3 E, CoCoRaHS, -133.618, 55.955, -, M, 92, M, 92, M, 92, 26.83, 2
RED DOG MINE 3 SSW, WBAN, -162.921, 68.028, 942, 49.9, 1, 0, 1, 0, 1, 10.41, 0
KENAI 29 ENE, WBAN, -150.448, 60.724, 282, 54.0, 1, 0, 1, 0, 1, 7.50, 0
TOK 70 SE, WBAN, -141.208, 62.737, 2000, 55.2, 1, 7, 1, 8, 1, 9.38, 1
PALMER 1.7 WNW, CoCoRaHS, -149.126, 61.619, 435, M, 92, M, 92, M, 92, 6.15, 0
ALCAN HWY MI-1244 ALASKA, RAWS, -141.467, 62.817, 1800, 59.8, 2, 4, 1, 4, 1, M, 92
ANGEL CREEK ALASKA, RAWS, -146.228, 65.020, 1100, 58.5, 0, 10, 0, 11, 0, M, 92
BEN CREEK ALASKA, RAWS, -143.067, 65.283, 1850, 60.0, 0, 4, 0, 4, 0, M, 92
BEAVER (WBQ) ALASKA, RAWS, -146.517, 66.267, 483, 59.3, 0, 16, 0, 17, 0, M, 92
BIG LAKE ALASKA, RAWS, -149.908, 61.518, 100, 58.9, 14, 1, 14, 1, 14, M, 92
BENTALIT ALASKA, RAWS, -150.986, 61.936, 150, 59.0, 0, 4, 0, 4, 0, M, 92
BROADVIEW ALASKA, RAWS, -149.767, 60.483, 625, 56.4, 0, 0, 0, 0, 0, M, 92
CARIBOU PEAK ALASKA, RAWS, -147.500, 65.189, 1575, 56.7, 0, 0, 0, 0, 0, M, 92
CHATANIKA ALASKA, RAWS, -148.583, 65.017, 1450, 59.2, 0, 1, 0, 1, 0, M, 92
CHISANA ALASKA, RAWS, -142.083, 62.133, 3318, 51.6, 0, 2, 0, 2, 0, M, 92
CHALKYITSIK ALASKA, RAWS, -144.341, 66.591, 450, 59.6, 11, 21, 11, 26, 11, M, 92
CHISTOCHINA ALASKA, RAWS, -144.665, 62.565, 2300, 58.0, 0, 5, 0, 5, 0, M, 92
CHITNA ALASKA, RAWS, -144.440, 61.532, 581, 56.6, 0, 4, 0, 4, 0, M, 92
CHICKEN ALASKA, RAWS, -141.929, 64.060, 2860, 58.3, 0, 7, 0, 8, 0, M, 92
EAGLE ALASKA, RAWS, -141.162, 64.776, 880, 58.2, 0, 11, 0, 12, 0, M, 92
FAIRBANKS ALASKA, RAWS, -147.615, 64.837, 454, 59.9, 0, 14, 0, 15, 0, M, 92
FAREWELL ALASKA, RAWS, -154.077, 63.723, 775, 59.0, 0, 2, 0, 2, 0, M, 92
FLAT ALASKA, RAWS, -156.614, 62.823, 1480, 56.6, 0, 0, 0, 0, 0, M, 92
GEORGE CREEK ALASKA, RAWS, -144.350, 63.838, 1525, 60.2, 0, 8, 0, 9, 0, M, 92
GOODPASTURE ALASKA, RAWS, -145.267, 64.238, 1520, 59.9, 0, 4, 0, 4, 0, M, 92
GRAPHITE LAKE ALASKA, RAWS, -143.283, 67.033, 850, 61.1, 0, 5, 0, 5, 0, M, 92
GRANITE ALASKA, RAWS, -149.287, 60.728, 512, 54.6, 0, 0, 0, 0, 0, M, 92
HAIDA ALASKA, RAWS, -132.698, 55.350, 1500, 54.5, 0, 1, 0, 1, 0, M, 92
HAYCOCK ALASKA, RAWS, -161.155, 65.202, 177, 55.7, 0, 1, 0, 1, 0, M, 92
HELMUT MOUNTAIN ALASKA, RAWS, -144.122, 67.741, 2800, 52.9, 0, 0, 0, 0, 0, M, 92
HELM ALASKA, RAWS, -131.366, 55.530, 1400, 57.5, 0, 9, 0, 10, 0, M, 92
HODZANA ALASKA, RAWS, -148.677, 66.742, 1075, 56.5, 90, 0, 90, 0, 90, M, 92
HOGATZA RIVER ALASKA, RAWS, -155.667, 66.217, 685, 58.2, 0, 5, 0, 5, 0, M, 92
HOMER ALASKA, RAWS, -151.208, 59.746, 715, 53.3, 0, 0, 0, 0, 0, M, 92
HOONAH ALASKA, RAWS, -135.133, 57.800, 450, 55.0, 0, 1, 0, 1, 0, M, 92
HOODOO HILL ALASKA, RAWS, -163.408, 65.586, 1550, 50.2, 0, 0, 0, 0, 0, M, 92
INNOKO FLATS ALASKA, RAWS, -158.817, 63.390, 930, 57.2, 0, 2, 0, 2, 0, M, 92
JATAHMUND LAKE ALASKA, RAWS, -142.083, 62.600, 2300, 59.4, 0, 8, 0, 9, 0, M, 92
KAIYUH ALASKA, RAWS, -158.106, 64.426, 110, 59.6, 0, 2, 0, 2, 0, M, 92
KAKE ALASKA, RAWS, -133.660, 56.974, 400, 54.5, 0, 0, 0, 0, 0, M, 92
KANUTI NWR ALASKA, RAWS, -152.170, 66.093, 825, 58.0, 0, 4, 0, 4, 0, M, 92
KAVET CREEK ALASKA, RAWS, -159.044, 67.139, 235, 57.1, 0, 1, 0, 1, 0, M, 92
KELLY ALASKA, RAWS, -162.300, 67.933, 412, 53.0, 0, 0, 0, 0, 0, M, 92
KENAI NWR ALASKA, RAWS, -150.317, 60.592, 400, 54.9, 0, 1, 0, 1, 0, M, 92
KIANA ALASKA, RAWS, -160.437, 66.977, 150, 55.5, 0, 1, 0, 1, 0, M, 92
KLAWASI ALASKA, RAWS, -144.928, 62.147, 3100, 56.6, 11, 1, 11, 1, 11, M, 92
KENAI LAKE ALASKA, RAWS, -149.400, 60.367, 475, 54.6, 0, 0, 0, 0, 0, M, 92
KOYUKUK NWR ALASKA, RAWS, -157.570, 66.008, 100, 56.1, 2, 1, 1, 1, 1, M, 92
LITTLE BLACK ALASKA, RAWS, -143.367, 66.091, 1241, 60.6, 0, 4, 0, 4, 0, M, 92
LIVENGOOD ALASKA, RAWS, -148.722, 65.424, 450, 59.2, 0, 8, 0, 9, 0, M, 92
LAKE MINCHUMINA ALASKA, RAWS, -152.311, 63.893, 740, 59.9, 0, 3, 0, 3, 0, M, 92
LOST CREEK ALASKA, RAWS, -147.971, 66.043, 700, 60.3, 0, 6, 0, 7, 0, M, 92
MAY CREEK ALASKA, RAWS, -142.584, 61.321, 1600, 54.4, 0, 2, 0, 2, 0, M, 92
MCKINLEY RIVER ALASKA, RAWS, -151.640, 63.649, 840, 57.1, 0, 3, 0, 3, 0, M, 92
NINILCHIK ALASKA, RAWS, -151.665, 60.043, 130, 54.1, 0, 0, 0, 0, 0, M, 92
NOATAK ALASKA, RAWS, -158.704, 68.071, 985, 52.4, 0, 0, 0, 0, 0, M, 92
NORUTAK LAKE ALASKA, RAWS, -154.333, 66.833, 800, 55.6, 0, 3, 0, 3, 0, M, 92
PORT ALSWORTH ALASKA, RAWS, -154.320, 60.196, 260, 56.1, 0, 2, 0, 2, 0, M, 92
PAXSON ALASKA, RAWS, -145.501, 62.945, 2670, 53.9, 0, 1, 0, 1, 0, M, 92
POORMAN ALASKA, RAWS, -155.558, 64.105, 935, 57.8, 0, 2, 0, 2, 0, M, 92
PREACHER CREEK ALASKA, RAWS, -145.030, 65.923, 1038, 60.6, 0, 9, 0, 10, 0, M, 92
QUARTZ CREEK ALASKA, RAWS, -164.650, 65.400, 427, 52.8, 0, 1, 0, 1, 0, M, 92
RABBIT CREEK ALASKA, RAWS, -149.728, 61.084, 1480, 54.9, 0, 0, 0, 0, 0, M, 92
WHITESTONE FARMS, COOP, -145.889, 64.154, 995, 60.6, 0, 7, 0, 8, 0, 8.17, 0
NORTH POLE 1N, COOP, -147.340, 64.760, 496, M, 92, M, 92, M, 92, 2.79, 66
ESTER 5NE, COOP, -147.924, 64.911, 630, 59.4, 0, 10, 0, 11, 0, 8.36, 0
FORT KNOX MINE, COOP, -147.341, 65.003, 1621, 59.6, 1, 0, 1, 0, 1, 8.28, 0
ANCHORAGE FORECAST OFFICE, COOP, -149.985, 61.156, 131, 56.8, 0, 0, 0, 0, 0, 7.66, 0
ESTER, COOP, -148.026, 64.846, 655, 59.3, 1, 4, 1, 4, 1, 7.32, 3
MOOSE MOUNTAIN, COOP, -147.937, 64.919, 855, 54.6, 1, 0, 1, 0, 1, M, 92
SAG RIVER DOT, COOP, -148.873, 68.761, 1630, 49.7, 5, 0, 5, 0, 5, M, 92
GUSTAVUS, WBAN, -135.709, 58.411, 40, 53.3, 0, 0, 0, 0, 0, 14.36, 0
MCKINLEY PARK, WBAN, -148.969, 63.718, 2070, 54.7, 0, 1, 0, 1, 0, 6.36, 0
SKAGWAY, COOP, -135.314, 59.455, 35, 57.1, 0, 2, 0, 2, 0, 6.35, 0
SKAGWAY AIRPORT, COOP, -135.324, 59.456, 20, 58.4, 6, 2, 6, 2, 6, 4.37, 0
MINCHUMINA, WBAN, -152.282, 63.903, 1025, 59.6, 1, 1, 1, 1, 1, 5.93, 0
HAINES AIRPORT, WBAN, -135.509, 59.243, 15, 56.1, 0, 2, 0, 2, 0, 6.61, 0
KING SALMON AIRPORT, WBAN, -156.656, 58.683, 67, 55.7, 0, 0, 0, 0, 0, 7.77, 0
JUNEAU DOWNTOWN, WBAN, -134.411, 58.299, 50, 55.3, 0, 0, 0, 0, 0, 21.41, 14
KODIAK AIRPORT, WBAN, -152.485, 57.751, 80, 53.6, 0, 0, 0, 0, 0, 19.92, 0
PETERSBURG 1, WBAN, -132.937, 56.806, 107, 53.6, 31, 0, 31, 0, 31, 14.35, 31
DUTCH HARBOR, WBAN, -166.543, 53.895, 10, 51.7, 0, 0, 0, 0, 0, 4.35, 0
SKAGWAY AIRPORT, WBAN, -135.324, 59.456, 20, 58.4, 7, 2, 7, 2, 7, 4.37, 2
NENANA MUNICIPAL AIRPORT, WBAN, -149.072, 64.550, 360, 61.1, 2, 3, 2, 3, 2, 5.59, 3
EAGLE AIRPORT, WBAN, -141.148, 64.777, 908, 58.1, 0, 9, 0, 10, 0, 4.61, 3
WAINWRIGHT AIRPORT, WBAN, -159.995, 70.639, 30, 43.3, 31, 0, 31, 0, 31, 0.80, 2
DEERING AIRPORT, WBAN, -162.764, 66.069, 21, 51.9, 17, 0, 17, 0, 17, 1.65, 19
KLAWOCK AIRPORT, WBAN, -133.075, 55.580, 12, 56.0, 0, 0, 0, 0, 0, 23.43, 0
ST GEORGE ISLAND AIRPORT, WBAN, -169.565, 56.600, 125, 46.1, 35, 0, 35, 0, 35, 8.02, 0
ANCHORAGE LAKE HOOD SEA PLANE BASE, WBAN, -149.966, 61.178, 90, 58.3, 0, 0, 0, 0, 0, 6.81, 0
NUIQSUT AIRPORT, WBAN, -151.002, 70.212, 57, 46.1, 0, 0, 0, 0, 0, 3.72, 1
KIVALINA AIRPORT, WBAN, -164.548, 67.732, 10, 49.1, 2, 0, 2, 0, 2, T, 47
SELDOVIA AIRPORT, WBAN, -151.702, 59.443, 29, 53.7, 0, 0, 0, 0, 0, 5.96, 0
