Data for December 1, 2017 through March 31, 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt, TotalSnowfall, mcnt, MeanSnowDepth, mcnt
ANNEX CREEK, WBAN, -134.100, 58.318, 92, 27.3, 1, 0, 1, 0, 1, 33.60, 1, 97.1, 20, 18.6, 24
JUNEAU AIRPORT, WBAN, -134.564, 58.357, 16, 28.9, 0, 0, 0, 0, 0, 18.65, 0, 51.8, 0, 2.3, 0
AUKE BAY, COOP, -134.645, 58.381, 44, 30.0, 0, 0, 0, 0, 0, 16.84, 0, 47.9, 6, 4.8, 6
GLACIER BAY, COOP, -135.869, 58.456, 45, 30.1, 0, 0, 0, 0, 0, 20.34, 3, 70.2, 1, 7.2, 1
CANYON ISLAND, COOP, -133.679, 58.550, 20, 33.1, 102, 0, 102, 0, 102, 7.53, 102, 2.4, 102, 3.5, 102
YAKUTAT AIRPORT, WBAN, -139.671, 59.512, 33, 31.1, 8, 0, 7, 0, 7, 35.29, 7, 39.2, 28, 4.8, 30
HOMER AIRPORT, WBAN, -151.491, 59.642, 64, 30.1, 0, 0, 0, 0, 0, 8.05, 5, M, 121, M, 121
HOMER 8 NW, COOP, -151.635, 59.744, 1080, 27.6, 0, 0, 0, 0, 0, 8.31, 0, 43.1, 0, 9.4, 0
ILIAMNA AIRPORT, WBAN, -154.909, 59.749, 143, 25.6, 0, 0, 0, 0, 0, 6.10, 2, M, 121, M, 121
SEWARD AIRPORT, WBAN, -149.417, 60.128, 22, 30.6, 1, 0, 1, 0, 1, 18.06, 1, M, 121, M, 121
PORT ALSWORTH, WBAN, -154.316, 60.204, 260, 26.3, 36, 0, 34, 0, 34, 1.70, 50, 19.5, 55, 3.1, 55
MOOSE PASS 3NW, COOP, -149.426, 60.503, 492, 19.8, 33, 0, 32, 0, 32, 6.46, 31, 45.1, 32, 8.9, 34
CORDOVA AIRPORT, WBAN, -145.451, 60.489, 31, 29.5, 0, 0, 0, 0, 0, 25.73, 4, 18.2, 85, 2.2, 84
CORDOVA NORTH, COOP, -145.753, 60.556, 25, 34.1, 49, 0, 49, 0, 49, 50.46, 39, 41.7, 46, 1.3, 64
COOPER LANDING KENAI R, COOP, -149.809, 60.492, 419, 33.2, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
KENAI AIRPORT, WBAN, -151.239, 60.580, 91, 21.3, 0, 0, 0, 0, 0, 1.61, 7, M, 121, M, 121
PORTAGE GLACIER VISITOR CENTER, WBAN, -148.839, 60.785, 103, 25.8, 0, 0, 0, 0, 0, 51.75, 0, M, 121, M, 121
BETHEL AIRPORT, WBAN, -161.829, 60.785, 102, 20.1, 0, 0, 0, 0, 0, 3.38, 0, 26.3, 6, 4.2, 14
ALYESKA, COOP, -149.111, 60.958, 272, 26.8, 0, 0, 0, 0, 0, 26.83, 0, 106.3, 0, 10.4, 0
CANNERY CREEK, COOP, -147.515, 61.018, 85, 26.6, 0, 0, 0, 0, 0, 34.67, 0, 6.5, 11, 18.5, 19
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, WBAN, -150.028, 61.169, 120, 23.4, 0, 0, 0, 0, 0, 4.36, 0, 50.0, 0, 10.6, 0
EAGLE RIVER NATURE CENTER, COOP, -149.271, 61.234, 520, 20.8, 7, 0, 2, 0, 2, 4.94, 0, 46.2, 24, 7.2, 24
ANCHORAGE MERRILL FIELD, WBAN, -149.855, 61.217, 138, 21.4, 0, 0, 0, 0, 0, 2.99, 0, M, 121, M, 121
EAGLE RIVER 1S, COOP, -149.559, 61.308, 250, 20.2, 102, 0, 102, 0, 102, M, 121, M, 121, 26.5, 101
BEN'S FARM, COOP, -149.154, 61.563, 127, 21.2, 2, 0, 2, 0, 2, M, 121, M, 121, M, 121
MATANUSKA EXPERIMENTAL FARM, WBAN, -149.254, 61.566, 172, 21.2, 0, 0, 0, 0, 0, 4.09, 0, 41.0, 32, 3.3, 12
PALMER AIRPORT, WBAN, -149.092, 61.596, 230, 21.8, 0, 0, 0, 0, 0, 2.77, 9, M, 121, M, 121
LITTLE SU AT HATCHER PASS BRIDGE, COOP, -149.232, 61.710, 902, 22.9, 21, 0, 21, 0, 21, 70.07, 21, M, 121, M, 121
GENNALLEN KCAM, COOP, -145.533, 62.109, 1383, 3.7, 0, 0, 0, 0, 0, 5.79, 0, 61.2, 2, 20.9, 0
MONTANA CREEK, COOP, -150.059, 62.104, 245, 21.2, 102, 0, 102, 0, 102, M, 121, M, 121, M, 121
PUNTILLA, WBAN, -152.735, 62.091, 1858, 14.7, 0, 0, 0, 0, 0, 6.19, 0, 72.0, 0, 23.7, 0
MOUNTAIN VILLAGE AP, WBAN, -163.682, 62.095, 337, 12.0, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
GULKANA AIRPORT, WBAN, -145.459, 62.159, 1562, 5.1, 0, 0, 0, 0, 0, 4.49, 5, M, 121, M, 121
TALKEETNA AIRPORT, WBAN, -150.095, 62.320, 350, 18.6, 0, 0, 0, 0, 0, 6.20, 0, M, 121, M, 121
CHULITNA RIVER, COOP, -149.906, 62.826, 1354, 17.9, 10, 0, 10, 0, 10, 7.74, 7, 105.5, 9, 50.6, 9
NORTHWAY AIRPORT, WBAN, -141.988, 62.962, 1713, -3.1, 0, 0, 0, 0, 0, 0.00, 0, 18.3, 0, 8.2, 0
MCGRATH AP, WBAN, -155.610, 62.957, 333, 10.9, 0, 0, 0, 0, 0, 3.80, 0, 53.8, 1, 18.4, 0
EIELSON VISITOR CENTER, COOP, -150.312, 63.426, 3761, 26.1, 101, 0, 101, 0, 101, M, 121, M, 121, 22.1, 101
BIG DELTA AIRPORT, WBAN, -145.721, 63.994, 1277, 10.2, 0, 0, 0, 0, 0, 0.93, 14, M, 121, M, 121
CHICKEN, COOP, -141.921, 64.092, 1800, -8.3, 1, 0, 1, 0, 1, 1.11, 1, 12.0, 1, 11.7, 1
KALTAG AP, WBAN, -158.742, 64.327, 181, 9.8, 6, 0, 6, 0, 6, 2.22, 13, M, 121, M, 121
NOME AIRPORT, WBAN, -165.440, 64.511, 13, 16.1, 0, 0, 0, 0, 0, 5.96, 0, 75.7, 0, 31.9, 0
NENANA MUN AP, COOP, -149.096, 64.546, 358, 11.1, 0, 0, 0, 0, 0, 3.68, 1, M, 121, M, 121
WHITE MOUNTAIN, WBAN, -163.400, 64.683, 20, 12.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
EAGLE, WBAN, -141.204, 64.786, 850, 4.1, 1, 0, 1, 0, 1, 2.03, 0, 31.9, 0, 11.9, 0
NORTH POLE, COOP, -147.325, 64.758, 475, 3.7, 0, 0, 0, 0, 0, 2.19, 0, 39.9, 0, 20.1, 0
FAIRBANKS INTL AP, WBAN, -147.876, 64.804, 432, 5.4, 0, 0, 0, 0, 0, 3.62, 0, 53.4, 0, 20.2, 0
FAIRBANKS 9 ENE, COOP, -147.249, 64.887, 530, 18.8, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
UNIVERSITY EXPERIMENTAL STATION, WBAN, -147.861, 64.857, 475, 7.8, 0, 0, 0, 0, 0, 3.79, 0, 52.4, 0, 22.3, 0
COLLEGE OBSERVATORY, WBAN, -147.848, 64.860, 597, 7.7, 0, 0, 0, 0, 0, 3.61, 0, 44.3, 2, 22.1, 4
FAIRBANKS 39 ENE, COOP, -146.409, 64.899, 740, 19.3, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
GILMORE CREEK, COOP, -147.521, 64.977, 945, 8.5, 5, 0, 5, 0, 5, 5.21, 3, 48.4, 3, 22.4, 3
TANANA AIRPORT, WBAN, -152.107, 65.175, 222, 5.0, 0, 0, 0, 0, 0, 0.00, 0, 59.8, 0, 17.8, 0
CIRCLE HOT SPRINGS, WBAN, -144.642, 65.494, 860, -1.3, 0, 0, 0, 0, 0, 1.85, 0, 32.6, 0, 17.8, 0
PROSPECT CREEK, WBAN, -150.669, 66.824, 955, 15.3, 101, 0, 101, 0, 101, M, 121, M, 121, 21.2, 104
KOTZEBUE AIRPORT, WBAN, -162.633, 66.867, 30, 11.2, 0, 0, 0, 0, 0, 5.08, 0, 62.7, 0, 56.0, 48
BETTLES AIRPORT, WBAN, -151.519, 66.918, 634, 2.0, 0, 0, 0, 0, 0, 4.10, 0, 69.0, 0, 32.4, 0
BARTER ISLAND WSO AP, WBAN, -143.577, 70.134, 2, 1.0, 40, 0, 40, 0, 40, 0.78, 59, M, 121, M, 121
DEADHORSE, WBAN, -148.477, 70.192, 61, -0.2, 0, 0, 0, 0, 0, T, 0, M, 121, M, 121
BARROW AIRPORT, WBAN, -156.781, 71.283, 31, 1.1, 0, 0, 0, 0, 0, 1.36, 1, 16.4, 1, 8.7, 0
MAIN BAY, COOP, -148.093, 60.518, 57, 28.3, 0, 0, 0, 0, 0, 69.14, 0, 184.5, 0, 35.8, 0
KUPARUK, COOP, -149.611, 70.329, 64, -1.8, 4, 0, 4, 0, 4, 1.43, 4, 18.1, 4, 14.8, 4
MCCARTHY 3 SW, COOP, -142.996, 61.418, 1250, 25.6, 102, 0, 102, 0, 102, M, 121, M, 121, M, 121
PORT SAN JUAN, COOP, -148.067, 60.050, 40, 32.2, 1, 0, 1, 0, 1, 39.67, 1, 60.8, 9, 7.7, 26
DELTA JUNCTION 20 SE, COOP, -145.105, 63.965, 1125, 6.7, 0, 0, 0, 0, 0, 2.00, 0, 28.6, 0, 11.9, 0
HOUSTON, COOP, -149.801, 61.631, 270, 18.3, 49, 0, 48, 0, 48, 14.96, 40, 46.5, 48, 7.6, 47
LAZY MOUNTAIN, COOP, -149.036, 61.627, 733, 21.0, 0, 0, 0, 0, 0, 4.27, 0, 67.7, 0, 8.1, 0
PORT ALCAN, COOP, -141.006, 62.621, 1892, -0.9, 0, 0, 0, 0, 0, 1.21, 0, 18.2, 0, 17.0, 0
AMBLER, COOP, -157.850, 67.083, 120, 24.8, 102, 0, 102, 0, 102, M, 121, M, 121, 12.7, 101
KENAI KEYS-RIVER, COOP, -150.617, 60.483, 125, M, 121, M, 121, M, 121, 0.67, 105, 0.5, 119, M, 121
PALMER-MAT RVR, COOP, -149.073, 61.609, 171, 31.4, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
KALGIN ISLAND, COOP, -151.917, 60.450, 30, 22.1, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
KOYUK, COOP, -161.150, 64.933, 60, 20.8, 102, 0, 102, 0, 102, M, 121, M, 121, M, 121
EAGLE RIVER 5 SE, COOP, -149.440, 61.297, 498, 21.3, 0, 0, 0, 0, 0, 4.41, 0, 26.0, 23, 7.1, 0
HAINES 40NW, COOP, -136.361, 59.450, 820, 20.3, 0, 0, 0, 0, 0, 14.20, 0, 71.4, 0, 11.8, 0
FORT RICHARDSON WATER TREATMENT PLANT, COOP, -149.650, 61.227, 470, 22.0, 0, 0, 0, 0, 0, 2.75, 0, 27.7, 0, M, 121
HOMER 17 E, COOP, -151.167, 59.767, 1000, 9.7, 102, 0, 102, 0, 102, M, 121, M, 121, M, 121
HIDDEN FALLS HATCHERY, COOP, -134.877, 57.218, 22, M, 121, M, 121, M, 121, 29.40, 11, 65.7, 70, 6.6, 28
TWO RIVERS, COOP, -146.954, 64.866, 605, 23.4, 101, 0, 101, 0, 101, M, 121, M, 121, 14.7, 101
DELTA 6 N, COOP, -145.751, 64.117, 1059, 5.2, 3, 0, 1, 0, 1, 2.40, 0, 32.7, 0, 11.5, 0
DRY CREEK, COOP, -144.604, 63.675, 1355, 5.2, 0, 0, 0, 0, 0, 2.97, 0, 40.4, 1, 19.2, 2
KEYSTONE RIDGE, COOP, -148.271, 64.916, 1600, 14.4, 0, 0, 0, 0, 0, 5.43, 2, 71.4, 2, 24.4, 2
COLVILLE VILLAGE, COOP, -150.409, 70.432, 5, -1.3, 0, 0, 0, 0, 0, 1.43, 0, 36.8, 0, 8.7, 0
FOX 2 SE, COOP, -147.626, 64.959, 775, 7.9, 12, 0, 12, 0, 12, 3.12, 12, 39.9, 12, 23.0, 12
GALENA, COOP, -156.875, 64.741, 152, 8.1, 1, 0, 1, 0, 1, 2.90, 10, 34.4, 10, 17.2, 10
WHITESTONE FARMS, COOP, -145.889, 64.154, 995, 9.4, 0, 0, 0, 0, 0, 2.37, 0, 36.6, 0, 8.8, 0
ESTER 5NE, COOP, -147.924, 64.911, 630, 5.1, 0, 0, 0, 0, 0, 4.01, 4, 60.0, 7, 20.1, 7
FORT KNOX MINE, COOP, -147.341, 65.003, 1621, 13.5, 0, 0, 0, 0, 0, 4.59, 0, M, 121, M, 121
ANCHORAGE FORECAST OFFICE, COOP, -149.985, 61.156, 131, 22.5, 0, 0, 0, 0, 0, 4.28, 0, 50.8, 0, 10.6, 0
ESTER, COOP, -148.026, 64.846, 655, 5.2, 1, 0, 1, 0, 1, 4.36, 0, 58.6, 0, 22.8, 0
MOOSE MOUNTAIN, COOP, -147.937, 64.919, 855, 27.1, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
SAG RIVER DOT, COOP, -148.873, 68.761, 1630, 6.6, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
GUSTAVUS, WBAN, -135.709, 58.411, 40, M, 121, M, 121, M, 121, 12.11, 44, 28.4, 47, 3.0, 46
MCKINLEY PARK, WBAN, -148.969, 63.718, 2070, 12.2, 1, 0, 1, 0, 1, 3.37, 0, 51.4, 2, 21.6, 2
SKAGWAY, COOP, -135.314, 59.455, 35, 26.5, 0, 0, 0, 0, 0, 10.42, 0, 31.7, 0, 0.7, 0
SKAGWAY AIRPORT, COOP, -135.324, 59.456, 20, 28.4, 11, 0, 11, 0, 11, 7.72, 11, M, 121, M, 121
WRANGELL AIRPORT, WBAN, -132.387, 56.473, 56, 24.0, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
GALENA AIRPORT, WBAN, -156.934, 64.737, 153, -13.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
MINCHUMINA, WBAN, -152.282, 63.903, 1025, 8.7, 0, 0, 0, 0, 0, 2.82, 0, 40.5, 12, 15.8, 12
HAINES AIRPORT, WBAN, -135.509, 59.243, 15, 27.3, 0, 0, 0, 0, 0, 14.13, 11, M, 121, M, 121
KING SALMON AIRPORT, WBAN, -156.656, 58.683, 67, 26.1, 0, 0, 0, 0, 0, 6.71, 1, 39.8, 3, 2.5, 1
JUNEAU DOWNTOWN, WBAN, -134.411, 58.299, 50, 32.2, 1, 0, 1, 0, 1, 23.49, 6, 33.5, 38, 1.4, 38
KODIAK AIRPORT, WBAN, -152.485, 57.751, 80, 34.8, 0, 0, 0, 0, 0, 25.99, 0, 11.7, 10, 0.1, 11
PETERSBURG 1, WBAN, -132.937, 56.806, 107, 31.7, 0, 0, 0, 0, 0, 24.85, 0, 68.1, 1, 6.7, 2
DUTCH HARBOR, WBAN, -166.543, 53.895, 10, 36.8, 1, 0, 1, 0, 1, 12.48, 1, 22.9, 1, 0.6, 1
SKAGWAY AIRPORT, WBAN, -135.324, 59.456, 20, 28.1, 24, 0, 24, 0, 24, 5.26, 20, M, 121, M, 121
NENANA MUNICIPAL AIRPORT, WBAN, -149.072, 64.550, 360, 11.1, 0, 0, 0, 0, 0, 3.68, 1, M, 121, M, 121
EAGLE AIRPORT, WBAN, -141.148, 64.777, 908, 5.4, 0, 0, 0, 0, 0, 1.15, 10, M, 121, M, 121
WAINWRIGHT AIRPORT, WBAN, -159.995, 70.639, 30, 1.4, 0, 0, 0, 0, 0, T, 9, M, 121, M, 121
DEERING AIRPORT, WBAN, -162.764, 66.069, 21, 15.0, 30, 0, 30, 0, 30, 0.07, 17, M, 121, M, 121
KLAWOCK AIRPORT, WBAN, -133.075, 55.580, 12, 36.6, 0, 0, 0, 0, 0, 16.54, 7, M, 121, M, 121
ST GEORGE ISLAND AIRPORT, WBAN, -169.565, 56.600, 125, 34.0, 2, 0, 2, 0, 2, 8.42, 1, M, 121, M, 121
ANCHORAGE LAKE HOOD SEA PLANE BASE, WBAN, -149.966, 61.178, 90, 22.3, 0, 0, 0, 0, 0, 0.78, 22, M, 121, M, 121
NUIQSUT AIRPORT, WBAN, -151.002, 70.212, 57, -1.9, 6, 0, 6, 0, 6, T, 55, M, 121, M, 121
KIVALINA AIRPORT, WBAN, -164.548, 67.732, 10, 12.4, 5, 0, 5, 0, 5, T, 77, M, 121, M, 121
SELDOVIA AIRPORT, WBAN, -151.702, 59.443, 29, 30.3, 1, 0, 1, 0, 1, 16.68, 4, M, 121, M, 121
FAIRBANKS AIRPORT #2, COOP, -147.874, 64.817, 427, 6.1, 2, 0, 0, 0, 0, 3.62, 0, 52.7, 0, 20.3, 0
JUNEAU LENA POINT, COOP, -134.766, 58.387, 35, 32.6, 0, 0, 0, 0, 0, 16.52, 0, 38.8, 0, 2.8, 0
CAMPBELL CREEK SCIENCE CENTER, COOP, -149.778, 61.164, 258, 18.7, 4, 0, 4, 0, 4, 3.83, 15, 36.5, 51, 7.9, 39
CHANDALAR SHELF DOT, COOP, -149.565, 68.078, 3250, 4.0, 5, 0, 5, 0, 5, M, 121, M, 121, M, 121
HAINES #2, COOP, -135.449, 59.238, 95, 26.4, 0, 0, 0, 0, 0, 23.05, 0, 80.6, 0, 3.4, 0
EKLUTNA WTP, COOP, -149.323, 61.450, 640, 21.9, 31, 0, 31, 0, 31, 3.42, 31, 28.4, 31, 11.7, 31
JUNEAU FORECAST OFFICE, COOP, -134.569, 58.400, 106, 30.3, 59, 0, 59, 0, 59, 12.04, 59, 18.0, 59, 8.1, 59
CORDOVA WWTP, COOP, -145.778, 60.536, 10, 36.6, 24, 0, 24, 0, 24, 70.37, 24, M, 121, M, 121
WALLY NOERENBERG HATCHERY, COOP, -148.087, 60.799, 35, 28.2, 6, 0, 6, 0, 6, 49.62, 5, 93.5, 16, 12.5, 19
SITKA WATER TREATMENT PLANT, COOP, -135.350, 57.047, 35, M, 121, M, 121, M, 121, 20.70, 1, 12.6, 1, 0.4, 1
CLEAR SKY, COOP, -149.183, 64.245, 646, 7.0, 0, 0, 0, 0, 0, 3.35, 0, 46.6, 0, 18.4, 0
SAND POINT 1 ENE, WBAN, -160.466, 55.347, 240, 34.8, 0, 0, 0, 0, 0, 18.62, 0, M, 121, M, 121
PORT ALSWORTH 1 SW, WBAN, -154.320, 60.195, 321, 23.0, 0, 0, 0, 0, 0, 5.84, 0, M, 121, M, 121
TOK #2, COOP, -143.006, 63.316, 1658, -0.3, 0, 0, 0, 0, 0, 1.46, 1, 17.2, 4, 10.7, 1
FORTY MILE RIVER AT TAYLOR HIGHWAY, COOP, -141.409, 64.309, 1252, 2.4, 101, 0, 101, 0, 101, M, 121, M, 121, M, 121
GOLDSTREAM CREEK, COOP, -147.875, 64.894, 577, 2.9, 0, 0, 0, 0, 0, 3.45, 0, 46.8, 0, 20.2, 0
EAGLE RIVER 2.6 ESE, CoCoRaHS, -149.496, 61.312, 799, M, 121, M, 121, M, 121, 3.43, 4, 30.3, 76, 3.3, 115
EDNA BAY 1.3 E, CoCoRaHS, -133.618, 55.955, -, M, 121, M, 121, M, 121, 29.01, 3, 22.3, 67, 3.7, 109
RED DOG MINE 3 SSW, WBAN, -162.921, 68.028, 942, 12.4, 0, 0, 0, 0, 0, 6.40, 0, M, 121, M, 121
KENAI 29 ENE, WBAN, -150.448, 60.724, 282, 19.6, 0, 0, 0, 0, 0, 3.67, 0, M, 121, M, 121
TOK 70 SE, WBAN, -141.208, 62.737, 2000, -0.3, 0, 0, 0, 0, 0, 2.04, 0, M, 121, M, 121
PETERSBURG 4.4 NW, CoCoRaHS, -132.954, 56.814, 49, M, 121, M, 121, M, 121, 14.27, 7, 0.0, 119, M, 121
PALMER 1.7 WNW, CoCoRaHS, -149.126, 61.619, 435, M, 121, M, 121, M, 121, 4.14, 0, 46.7, 0, 4.9, 0
ALCAN HWY MI-1244 ALASKA, RAWS, -141.467, 62.817, 1800, 5.6, 87, 0, 87, 0, 87, M, 121, M, 121, M, 121
ANGEL CREEK ALASKA, RAWS, -146.228, 65.020, 1100, 11.5, 95, 0, 92, 0, 92, M, 121, M, 121, M, 121
BIRCH CREEK ALASKA, RAWS, -144.364, 65.585, 850, -1.4, 37, 0, 34, 0, 34, M, 121, M, 121, M, 121
BEN CREEK ALASKA, RAWS, -143.067, 65.283, 1850, 11.2, 50, 0, 44, 0, 44, M, 121, M, 121, M, 121
BIG LAKE ALASKA, RAWS, -149.908, 61.518, 100, 19.6, 34, 0, 33, 0, 33, M, 121, M, 121, M, 121
BENTALIT ALASKA, RAWS, -150.986, 61.936, 150, 17.6, 3, 0, 2, 0, 2, M, 121, M, 121, M, 121
BROADVIEW ALASKA, RAWS, -149.767, 60.483, 625, 26.8, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
CARIBOU PEAK ALASKA, RAWS, -147.500, 65.189, 1575, 15.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
CHATANIKA ALASKA, RAWS, -148.583, 65.017, 1450, 14.6, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
CHISANA ALASKA, RAWS, -142.083, 62.133, 3318, 1.7, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
CHALKYITSIK ALASKA, RAWS, -144.341, 66.591, 450, 5.0, 55, 0, 52, 0, 52, M, 121, M, 121, M, 121
CHISTOCHINA ALASKA, RAWS, -144.665, 62.565, 2300, 14.3, 58, 0, 51, 0, 51, M, 121, M, 121, M, 121
CHITNA ALASKA, RAWS, -144.440, 61.532, 581, 10.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
CHICKEN ALASKA, RAWS, -141.929, 64.060, 2860, 0.7, 11, 0, 7, 0, 7, M, 121, M, 121, M, 121
EAGLE ALASKA, RAWS, -141.162, 64.776, 880, 5.9, 8, 0, 4, 0, 4, M, 121, M, 121, M, 121
FAIRBANKS ALASKA, RAWS, -147.615, 64.837, 454, 5.8, 70, 0, 69, 0, 69, M, 121, M, 121, M, 121
GEORGE CREEK ALASKA, RAWS, -144.350, 63.838, 1525, 10.4, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
GOODPASTURE ALASKA, RAWS, -145.267, 64.238, 1520, 11.3, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
GRAPHITE LAKE ALASKA, RAWS, -143.283, 67.033, 850, 3.8, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
GRANITE ALASKA, RAWS, -149.287, 60.728, 512, 22.4, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
HAIDA ALASKA, RAWS, -132.698, 55.350, 1500, 34.8, 31, 0, 30, 0, 30, M, 121, M, 121, M, 121
HAYCOCK ALASKA, RAWS, -161.155, 65.202, 177, 15.3, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
HELMUT MOUNTAIN ALASKA, RAWS, -144.122, 67.741, 2800, 6.0, 7, 0, 4, 0, 4, M, 121, M, 121, M, 121
HELM ALASKA, RAWS, -131.366, 55.530, 1400, 34.8, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
HOGATZA RIVER ALASKA, RAWS, -155.667, 66.217, 685, 8.5, 24, 0, 22, 0, 22, M, 121, M, 121, M, 121
HOMER ALASKA, RAWS, -151.208, 59.746, 715, 29.2, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
HOONAH ALASKA, RAWS, -135.133, 57.800, 450, 32.6, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
HOODOO HILL ALASKA, RAWS, -163.408, 65.586, 1550, 13.4, 64, 0, 61, 0, 61, M, 121, M, 121, M, 121
INNOKO FLATS ALASKA, RAWS, -158.817, 63.390, 930, 13.2, 22, 0, 21, 0, 21, M, 121, M, 121, M, 121
JATAHMUND LAKE ALASKA, RAWS, -142.083, 62.600, 2300, 6.5, 120, 0, 120, 0, 120, M, 121, M, 121, M, 121
KAIYUH ALASKA, RAWS, -158.106, 64.426, 110, 9.6, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
KAKE ALASKA, RAWS, -133.660, 56.974, 400, 31.1, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
KANUTI NWR ALASKA, RAWS, -152.170, 66.093, 825, 4.1, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
KAVET CREEK ALASKA, RAWS, -159.044, 67.139, 235, 6.8, 6, 0, 3, 0, 3, M, 121, M, 121, M, 121
KELLY ALASKA, RAWS, -162.300, 67.933, 412, 10.5, 6, 0, 3, 0, 3, M, 121, M, 121, M, 121
KENAI NWR ALASKA, RAWS, -150.317, 60.592, 400, 20.8, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
KIANA ALASKA, RAWS, -160.437, 66.977, 150, 9.5, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
KILBUCK ALASKA, RAWS, -160.200, 60.320, 1910, 18.6, 33, 0, 32, 0, 32, M, 121, M, 121, M, 121
