Data for June 1, 2018 through August 31, 2018

Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt
CRAIG, WBAN, -133.141, 55.477, 43, 56.6, 2, 0, 0, 0, 0, 13.01, 0
LITTLE PORT WALTER, WBAN, -134.650, 56.383, 14, 55.8, 13, 0, 10, 0, 10, 14.97, 8
SITKA AIRPORT, WBAN, -135.365, 57.048, 14, 56.6, 0, 0, 0, 0, 0, 15.15, 0
SAINT PAUL ISLAND AIRPORT, WBAN, -170.222, 57.155, 35, 47.7, 0, 0, 0, 0, 0, 9.64, 0
DELTA JUNCTION 20 SE, COOP, -145.105, 63.965, 1125, 56.0, 0, 5, 0, 5, 0, 5.97, 0
HOUSTON, COOP, -149.801, 61.631, 270, 57.9, 41, 2, 41, 4, 41, 6.78, 41
LAZY MOUNTAIN, COOP, -149.036, 61.627, 733, 54.4, 0, 0, 0, 0, 0, 10.73, 7
PORT ALCAN, COOP, -141.006, 62.621, 1892, 55.7, 0, 2, 0, 2, 0, 8.02, 0
EAGLE RIVER 5 SE, COOP, -149.440, 61.297, 498, 57.5, 0, 3, 0, 3, 0, 4.70, 0
HAINES 40NW, COOP, -136.361, 59.450, 820, 56.5, 0, 9, 0, 10, 0, 4.34, 0
FORT RICHARDSON WATER TREATMENT PLANT, COOP, -149.650, 61.227, 470, 56.3, 3, 0, 3, 0, 3, 7.09, 3
DELTA 6 N, COOP, -145.751, 64.117, 1059, 54.7, 0, 5, 0, 5, 0, 6.60, 0
DRY CREEK, COOP, -144.604, 63.675, 1355, 57.2, 0, 8, 0, 9, 0, 8.78, 0
KEYSTONE RIDGE, COOP, -148.271, 64.916, 1600, 57.0, 0, 2, 0, 2, 0, 9.13, 0
COLVILLE VILLAGE, COOP, -150.409, 70.432, 5, 39.7, 0, 0, 0, 0, 0, 3.04, 0
FOX 2 SE, COOP, -147.626, 64.959, 775, 55.0, 0, 4, 0, 4, 0, 9.59, 0
EAGLE RIVER GAKONA CIRCLE, COOP, -149.543, 61.319, 567, 56.3, 0, 0, 0, 0, 0, 7.74, 0
POINT BAKER, COOP, -133.626, 56.351, 20, 54.9, 13, 0, 12, 0, 12, 6.83, 0
HYDER, COOP, -130.026, 55.916, 80, 60.5, 3, 6, 2, 7, 2, 8.13, 2
FAIRBANKS 11 NE, WBAN, -147.510, 64.974, 1140, 56.2, 1, 1, 1, 1, 1, 8.67, 0
AURORA, COOP, -147.722, 64.855, 443, 58.6, 0, 4, 0, 4, 0, 6.71, 0
KETCHIKAN AIRPORT, WBAN, -131.721, 55.360, 80, 60.0, 0, 2, 0, 2, 0, 12.48, 0
SOLDOTNA 5SSW, COOP, -151.134, 60.419, 180, 53.4, 0, 0, 0, 0, 0, 6.81, 0
MONTANA CREEK DOT, COOP, -146.086, 65.360, 2300, 50.8, 0, 0, 0, 0, 0, M, 92
MONASHKA CREEK DAM, COOP, -152.458, 57.843, 130, 51.1, 1, 0, 1, 0, 1, 24.07, 1
KODIAK WWTP, COOP, -152.356, 57.805, 54, 53.5, 0, 0, 0, 0, 0, 17.62, 0
Kodiak Area, ThreadEx, -, -, -, 54.9, 0, 0, 0, 0, 0, 16.66, 0
King Salmon Area, ThreadEx, -, -, -, 55.0, 0, 0, 0, 0, 0, 11.64, 0
Anchorage Area, ThreadEx, -, -, -, 58.8, 0, 0, 0, 0, 0, 6.30, 0
Annette Area, ThreadEx, -, -, -, 60.5, 21, 7, 21, 10, 21, 6.12, 21
Bethel Area, ThreadEx, -, -, -, 54.6, 0, 0, 0, 0, 0, 9.84, 0
Delta Junction Area, ThreadEx, -, -, -, 58.9, 11, 3, 11, 4, 11, 4.56, 7
Barrow Area, ThreadEx, -, -, -, 37.9, 0, 0, 0, 0, 0, 3.39, 0
Bettles Area, ThreadEx, -, -, -, 56.2, 0, 3, 0, 3, 0, 7.17, 0
Cold Bay Area, ThreadEx, -, -, -, 51.1, 0, 0, 0, 0, 0, 11.30, 0
Fairbanks Area, ThreadEx, -, -, -, 59.4, 0, 5, 0, 5, 0, 5.73, 0
Gulkana Area, ThreadEx, -, -, -, 55.7, 0, 1, 0, 1, 0, 7.75, 0
Homer Area, ThreadEx, -, -, -, 55.1, 0, 0, 0, 0, 0, 5.87, 0
Juneau Area, ThreadEx, -, -, -, 58.0, 0, 4, 0, 4, 0, 12.90, 0
Mcgrath Area, ThreadEx, -, -, -, 59.0, 0, 1, 0, 1, 0, 11.05, 0
Nome Area, ThreadEx, -, -, -, 51.5, 0, 0, 0, 0, 0, 4.32, 0
Kotzebue Area, ThreadEx, -, -, -, 55.0, 0, 0, 0, 0, 0, 4.27, 0
St Paul Island Area, ThreadEx, -, -, -, 47.7, 0, 0, 0, 0, 0, 9.64, 0
Talkeetna Area, ThreadEx, -, -, -, 57.5, 0, 0, 0, 0, 0, 12.49, 0
Yakutat Area, ThreadEx, -, -, -, 55.2, 0, 0, 0, 0, 0, 31.92, 0
ANCHORAGE UPPER DE ARMOUN, COOP, -149.717, 61.103, 1335, 55.6, 0, 0, 0, 0, 0, 8.40, 0
ST. PAUL 4 NE, WBAN, -170.212, 57.158, 20, 47.6, 4, 0, 3, 0, 3, 10.08, 0
SITKA 1 NE, WBAN, -135.327, 57.057, 78, 55.5, 1, 0, 1, 0, 1, 20.03, 0
ANCHORAGE RABBIT CREEK #2, COOP, -149.756, 61.088, 913, 55.2, 1, 0, 1, 0, 1, 6.62, 1
MANLEY HOT SPRINGS DOT, COOP, -150.613, 65.007, 345, 58.8, 51, 2, 51, 5, 51, M, 92
AMBER LAKE, COOP, -150.503, 62.193, 449, 57.7, 0, 2, 0, 2, 0, 13.16, 0
PELICAN, COOP, -136.221, 57.958, 12, 54.7, 0, 0, 0, 0, 0, 26.06, 0
SNETTISHAM POWER PLANT, COOP, -133.738, 58.142, 29, 57.7, 0, 3, 0, 3, 0, 29.47, 0
HOONAH, COOP, -135.428, 58.107, 130, 57.6, 1, 2, 1, 2, 1, 7.77, 0
KITOI BAY, COOP, -152.372, 58.191, 60, 53.8, 0, 0, 0, 0, 0, 15.24, 0
ELFIN COVE, WBAN, -136.344, 58.192, 20, 53.6, 5, 0, 5, 0, 5, 21.99, 1
ANNEX CREEK, WBAN, -134.100, 58.318, 92, 54.6, 2, 0, 2, 0, 2, 21.39, 0
JUNEAU AIRPORT, WBAN, -134.564, 58.357, 16, 58.0, 0, 4, 0, 4, 0, 12.90, 0
AUKE BAY, COOP, -134.645, 58.381, 44, 57.9, 0, 0, 0, 0, 0, 14.49, 0
GLACIER BAY, COOP, -135.869, 58.456, 45, 52.7, 5, 0, 0, 0, 0, 13.49, 0
YAKUTAT AIRPORT, WBAN, -139.671, 59.512, 33, 55.2, 0, 0, 0, 0, 0, 31.92, 0
HOMER AIRPORT, WBAN, -151.491, 59.642, 64, 55.1, 0, 0, 0, 0, 0, 5.87, 0
HOMER 8 NW, COOP, -151.635, 59.744, 1080, 52.2, 7, 0, 7, 0, 7, 8.11, 6
ILIAMNA AIRPORT, WBAN, -154.909, 59.749, 143, 54.5, 0, 0, 0, 0, 0, 14.49, 0
SEWARD AIRPORT, WBAN, -149.417, 60.128, 22, 54.7, 0, 0, 0, 0, 0, 10.92, 1
PORT ALSWORTH, WBAN, -154.316, 60.204, 260, 58.1, 16, 2, 16, 3, 16, 8.22, 7
MOOSE PASS 3NW, COOP, -149.426, 60.503, 492, 54.4, 2, 2, 2, 2, 2, 5.18, 2
EDNA BAY 1.3 E, CoCoRaHS, -133.618, 55.955, -, M, 92, M, 92, M, 92, 13.20, 0
RED DOG MINE 3 SSW, WBAN, -162.921, 68.028, 942, 50.3, 0, 0, 0, 0, 0, 5.87, 0
KENAI 29 ENE, WBAN, -150.448, 60.724, 282, 54.3, 1, 0, 1, 0, 1, 6.40, 1
TOK 70 SE, WBAN, -141.208, 62.737, 2000, 53.9, 1, 6, 1, 7, 1, 9.36, 0
PALMER 1.7 WNW, CoCoRaHS, -149.126, 61.619, 435, M, 92, M, 92, M, 92, 10.44, 0
ALCAN HWY MI-1244 ALASKA, RAWS, -141.467, 62.817, 1800, 58.7, 0, 9, 0, 10, 0, M, 92
ANGEL CREEK ALASKA, RAWS, -146.228, 65.020, 1100, 55.2, 0, 10, 0, 11, 0, M, 92
BIRCH CREEK ALASKA, RAWS, -144.364, 65.585, 850, 56.5, 0, 7, 0, 8, 0, M, 92
BEN CREEK ALASKA, RAWS, -143.067, 65.283, 1850, 57.4, 2, 5, 1, 5, 1, M, 92
BIG LAKE ALASKA, RAWS, -149.908, 61.518, 100, 59.3, 0, 5, 0, 5, 0, M, 92
BENTALIT ALASKA, RAWS, -150.986, 61.936, 150, 58.5, 0, 4, 0, 4, 0, M, 92
BROADVIEW ALASKA, RAWS, -149.767, 60.483, 625, 56.9, 0, 4, 0, 4, 0, M, 92
CARIBOU PEAK ALASKA, RAWS, -147.500, 65.189, 1575, 53.9, 0, 0, 0, 0, 0, M, 92
CHATANIKA ALASKA, RAWS, -148.583, 65.017, 1450, 57.1, 2, 2, 1, 2, 1, M, 92
CHISANA ALASKA, RAWS, -142.083, 62.133, 3318, 51.3, 0, 1, 0, 1, 0, M, 92
CHALKYITSIK ALASKA, RAWS, -144.341, 66.591, 450, 56.7, 1, 11, 1, 12, 1, M, 92
CHISTOCHINA ALASKA, RAWS, -144.665, 62.565, 2300, 57.0, 5, 7, 5, 8, 5, M, 92
CHITNA ALASKA, RAWS, -144.440, 61.532, 581, 56.2, 0, 6, 0, 7, 0, M, 92
CHICKEN ALASKA, RAWS, -141.929, 64.060, 2860, 56.0, 0, 6, 0, 7, 0, M, 92
EAGLE ALASKA, RAWS, -141.162, 64.776, 880, 56.5, 0, 10, 0, 11, 0, M, 92
FAIRBANKS ALASKA, RAWS, -147.615, 64.837, 454, 57.3, 0, 11, 0, 12, 0, M, 92
GEORGE CREEK ALASKA, RAWS, -144.350, 63.838, 1525, 58.4, 0, 11, 0, 12, 0, M, 92
GOODPASTURE ALASKA, RAWS, -145.267, 64.238, 1520, 57.0, 0, 4, 0, 4, 0, M, 92
GRAPHITE LAKE ALASKA, RAWS, -143.283, 67.033, 850, 58.2, 0, 6, 0, 7, 0, M, 92
GRANITE ALASKA, RAWS, -149.287, 60.728, 512, 55.5, 0, 5, 0, 5, 0, M, 92
HAIDA ALASKA, RAWS, -132.698, 55.350, 1500, 57.6, 0, 6, 0, 7, 0, M, 92
HAYCOCK ALASKA, RAWS, -161.155, 65.202, 177, 55.5, 0, 0, 0, 0, 0, M, 92
HELMUT MOUNTAIN ALASKA, RAWS, -144.122, 67.741, 2800, 49.2, 0, 0, 0, 0, 0, M, 92
HELM ALASKA, RAWS, -131.366, 55.530, 1400, 61.4, 0, 21, 0, 23, 0, M, 92
HOGATZA RIVER ALASKA, RAWS, -155.667, 66.217, 685, 56.0, 0, 3, 0, 3, 0, M, 92
HOMER ALASKA, RAWS, -151.208, 59.746, 715, 53.6, 0, 0, 0, 0, 0, M, 92
HOONAH ALASKA, RAWS, -135.133, 57.800, 450, 56.5, 0, 3, 0, 3, 0, M, 92
HOODOO HILL ALASKA, RAWS, -163.408, 65.586, 1550, 49.9, 0, 0, 0, 0, 0, M, 92
KAIYUH ALASKA, RAWS, -158.106, 64.426, 110, 58.9, 0, 2, 0, 2, 0, M, 92
KAKE ALASKA, RAWS, -133.660, 56.974, 400, 56.9, 0, 2, 0, 2, 0, M, 92
KANUTI NWR ALASKA, RAWS, -152.170, 66.093, 825, 55.5, 0, 2, 0, 2, 0, M, 92
KAVET CREEK ALASKA, RAWS, -159.044, 67.139, 235, 56.4, 0, 1, 0, 1, 0, M, 92
KELLY ALASKA, RAWS, -162.300, 67.933, 412, 53.7, 0, 0, 0, 0, 0, M, 92
KENAI NWR ALASKA, RAWS, -150.317, 60.592, 400, 55.9, 0, 3, 0, 3, 0, M, 92
KIANA ALASKA, RAWS, -160.437, 66.977, 150, 55.8, 0, 0, 0, 0, 0, M, 92
KILBUCK ALASKA, RAWS, -160.200, 60.320, 1910, 49.8, 0, 0, 0, 0, 0, M, 92
KENAI LAKE ALASKA, RAWS, -149.400, 60.367, 475, 55.1, 0, 1, 0, 1, 0, M, 92
KOYUKUK NWR ALASKA, RAWS, -157.570, 66.008, 100, 54.6, 0, 0, 0, 0, 0, M, 92
LITTLE BLACK ALASKA, RAWS, -143.367, 66.091, 1241, 57.7, 0, 6, 0, 7, 0, M, 92
LIVENGOOD ALASKA, RAWS, -148.722, 65.424, 450, 55.6, 0, 7, 0, 8, 0, M, 92
LAKE MINCHUMINA ALASKA, RAWS, -152.311, 63.893, 740, 58.5, 0, 6, 0, 7, 0, M, 92
LOST CREEK ALASKA, RAWS, -147.971, 66.043, 700, 58.1, 0, 6, 0, 7, 0, M, 92
MAY CREEK ALASKA, RAWS, -142.584, 61.321, 1600, 53.6, 0, 3, 0, 3, 0, M, 92
MCKINLEY RIVER ALASKA, RAWS, -151.640, 63.649, 840, 55.8, 0, 5, 0, 5, 0, M, 92
NINILCHIK ALASKA, RAWS, -151.665, 60.043, 130, 54.4, 0, 0, 0, 0, 0, M, 92
NOATAK ALASKA, RAWS, -158.704, 68.071, 985, 51.0, 10, 0, 10, 0, 10, M, 92
NORUTAK LAKE ALASKA, RAWS, -154.333, 66.833, 800, 53.6, 0, 2, 0, 2, 0, M, 92
PORT ALSWORTH ALASKA, RAWS, -154.320, 60.196, 260, 55.7, 0, 1, 0, 1, 0, M, 92
PAXSON ALASKA, RAWS, -145.501, 62.945, 2670, 52.0, 0, 0, 0, 0, 0, M, 92
POORMAN ALASKA, RAWS, -155.558, 64.105, 935, 57.3, 0, 2, 0, 2, 0, M, 92
PREACHER CREEK ALASKA, RAWS, -145.030, 65.923, 1038, 56.5, 0, 5, 0, 5, 0, M, 92
QUARTZ CREEK ALASKA, RAWS, -164.650, 65.400, 427, 53.0, 0, 0, 0, 0, 0, M, 92
SITKA WATER TREATMENT PLANT, COOP, -135.350, 57.047, 35, M, 92, M, 92, M, 92, 16.08, 0
CLEAR SKY, COOP, -149.183, 64.245, 646, 58.6, 0, 7, 0, 8, 0, 8.67, 0
SAND POINT 1 ENE, WBAN, -160.466, 55.347, 240, 50.3, 0, 0, 0, 0, 0, 12.99, 0
PORT ALSWORTH 1 SW, WBAN, -154.320, 60.195, 321, 54.9, 0, 1, 0, 1, 0, 9.93, 0
TOK #2, COOP, -143.006, 63.316, 1658, 56.2, 0, 10, 0, 11, 0, 8.00, 0
GOLDSTREAM CREEK, COOP, -147.875, 64.894, 577, 53.3, 0, 5, 0, 5, 0, 8.48, 0
EAGLE RIVER 2.6 ESE, CoCoRaHS, -149.496, 61.312, 799, M, 92, M, 92, M, 92, 7.84, 0
RABBIT CREEK ALASKA, RAWS, -149.728, 61.084, 1480, 56.6, 0, 0, 0, 0, 0, M, 92
REINDEER RIVER ALASKA, RAWS, -162.665, 61.716, 140, 54.9, 0, 0, 0, 0, 0, M, 92
RENEE ALASKA, RAWS, -146.618, 62.710, 2600, 48.3, 80, 0, 80, 0, 80, M, 92
FAIRBANKS 5.6 NNE, CoCoRaHS, -147.568, 64.911, 1016, M, 92, M, 92, M, 92, 5.22, 61
MANLEY HOT SPRINGS 15NE, COOP, -150.228, 65.123, 501, 55.1, 0, 7, 0, 8, 0, 7.63, 0
WHITESTONE FARMS, COOP, -145.889, 64.154, 995, 58.0, 0, 8, 0, 9, 0, 8.26, 0
NORTH POLE 1N, COOP, -147.340, 64.760, 496, 50.8, 82, 0, 82, 0, 82, 1.74, 80
ESTER 5NE, COOP, -147.924, 64.911, 630, 55.7, 0, 9, 0, 10, 0, 7.37, 0
FORT KNOX MINE, COOP, -147.341, 65.003, 1621, 56.4, 0, 1, 0, 1, 0, 11.55, 0
ANCHORAGE FORECAST OFFICE, COOP, -149.985, 61.156, 131, 58.1, 0, 0, 0, 0, 0, 6.71, 0
ESTER, COOP, -148.026, 64.846, 655, 56.2, 0, 4, 0, 4, 0, 8.93, 2
GUSTAVUS, WBAN, -135.709, 58.411, 40, 54.4, 0, 2, 0, 2, 0, 9.53, 0
MCKINLEY PARK, WBAN, -148.969, 63.718, 2070, 53.2, 0, 0, 0, 0, 0, 9.35, 0
SKAGWAY, COOP, -135.314, 59.455, 35, 59.3, 0, 5, 0, 5, 0, 5.54, 0
SKAGWAY AIRPORT, COOP, -135.324, 59.456, 20, 58.3, 0, 1, 0, 1, 0, 4.76, 0
MINCHUMINA, WBAN, -152.282, 63.903, 1025, 57.6, 0, 1, 0, 1, 0, 8.89, 0
HAINES AIRPORT, WBAN, -135.509, 59.243, 15, 58.1, 0, 3, 0, 3, 0, 4.68, 0
KING SALMON AIRPORT, WBAN, -156.656, 58.683, 67, 55.0, 0, 0, 0, 0, 0, 11.64, 0
JUNEAU DOWNTOWN, WBAN, -134.411, 58.299, 50, 58.2, 0, 0, 0, 0, 0, 16.89, 0
KODIAK AIRPORT, WBAN, -152.485, 57.751, 80, 54.9, 0, 0, 0, 0, 0, 16.66, 0
PETERSBURG 1, WBAN, -132.937, 56.806, 107, 57.0, 0, 0, 0, 0, 0, 11.03, 0
DUTCH HARBOR, WBAN, -166.543, 53.895, 10, 51.7, 0, 0, 0, 0, 0, 10.69, 0
SKAGWAY AIRPORT, WBAN, -135.324, 59.456, 20, 58.4, 1, 1, 1, 1, 1, 4.76, 1
NENANA MUNICIPAL AIRPORT, WBAN, -149.072, 64.550, 360, 59.8, 1, 7, 1, 8, 1, 5.74, 2
EAGLE AIRPORT, WBAN, -141.148, 64.777, 908, 56.1, 1, 7, 1, 8, 1, 8.70, 1
WAINWRIGHT AIRPORT, WBAN, -159.995, 70.639, 30, 39.9, 5, 0, 5, 0, 5, 0.93, 5
DEERING AIRPORT, WBAN, -162.764, 66.069, 21, 53.1, 10, 0, 10, 0, 10, 1.11, 22
KLAWOCK AIRPORT, WBAN, -133.075, 55.580, 12, 57.7, 0, 1, 0, 1, 0, 11.99, 0
ST GEORGE ISLAND AIRPORT, WBAN, -169.565, 56.600, 125, 48.1, 1, 0, 1, 0, 1, 10.70, 0
ANCHORAGE LAKE HOOD SEA PLANE BASE, WBAN, -149.966, 61.178, 90, 59.2, 0, 1, 0, 1, 0, 6.23, 0
NUIQSUT AIRPORT, WBAN, -151.002, 70.212, 57, 41.8, 2, 0, 2, 0, 2, 3.33, 3
KIVALINA AIRPORT, WBAN, -164.548, 67.732, 10, 51.8, 11, 0, 11, 0, 11, 1.92, 12
SELDOVIA AIRPORT, WBAN, -151.702, 59.443, 29, 54.4, 1, 0, 1, 0, 1, 8.14, 3
FAIRBANKS AIRPORT #2, COOP, -147.874, 64.817, 427, 57.9, 3, 5, 0, 5, 0, 6.81, 0
JUNEAU LENA POINT, COOP, -134.766, 58.387, 35, 59.4, 0, 2, 0, 2, 0, 11.97, 0
CAMPBELL CREEK SCIENCE CENTER, COOP, -149.778, 61.164, 258, 55.7, 1, 0, 1, 0, 1, 6.78, 6
CHANDALAR SHELF DOT, COOP, -149.565, 68.078, 3250, 47.2, 9, 0, 9, 0, 9, M, 92
HAINES #2, COOP, -135.449, 59.238, 95, 58.6, 0, 2, 0, 2, 0, 5.47, 0
EKLUTNA WTP, COOP, -149.323, 61.450, 640, 58.2, 0, 8, 0, 9, 0, 9.37, 0
JUNEAU FORECAST OFFICE, COOP, -134.569, 58.400, 106, 55.0, 0, 0, 0, 0, 0, 17.18, 0
CORDOVA WWTP, COOP, -145.778, 60.536, 10, 56.9, 4, 0, 0, 0, 0, 53.60, 0
WALLY NOERENBERG HATCHERY, COOP, -148.087, 60.799, 35, 55.0, 8, 0, 6, 0, 6, 32.97, 6
STERLING 6SW, COOP, -150.919, 60.491, 292, 55.6, 0, 0, 0, 0, 0, 6.12, 0
THORNE BAY, COOP, -132.525, 55.692, 286, 59.0, 0, 8, 0, 9, 0, 7.30, 0
IVOTUK 1 NNE, WBAN, -155.751, 68.485, 1909, 45.4, 1, 0, 1, 0, 1, 7.14, 0
RUBY 44 ESE, WBAN, -154.130, 64.501, 259, 57.1, 1, 3, 1, 3, 1, 7.04, 1
DEADHORSE 3 S, WBAN, -148.464, 70.162, 30, 40.9, 1, 0, 1, 0, 1, 4.34, 1
YAKUTAT 3 SSE, WBAN, -139.685, 59.509, 26, 53.4, 1, 0, 1, 0, 1, 37.09, 0
Skagway Area, ThreadEx, -, -, -, 58.3, 0, 1, 0, 1, 0, 4.76, 0
ANCHORAGE 7.6 SSE, CoCoRaHS, -149.846, 61.111, 220, M, 92, M, 92, M, 92, 6.82, 0
ANCHORAGE 4.5 E, CoCoRaHS, -149.765, 61.213, 224, M, 92, M, 92, M, 92, 0.06, 91
FAIRBANKS 4.4 W, CoCoRaHS, -147.797, 64.845, 438, M, 92, M, 92, M, 92, 0.91, 83
CHIGMIT MTNS ALASKA, RAWS, -153.466, 60.223, 4500, 40.5, 0, 0, 0, 0, 0, M, 92
COVILLE ALASKA, RAWS, -155.563, 58.803, 1500, 52.0, 23, 0, 23, 0, 23, M, 92
SALMON RIVER ALASKA, RAWS, -159.840, 67.460, 1201, 51.8, 0, 0, 0, 0, 0, M, 92
PEDERSON LAGOON ALASKA, RAWS, -149.731, 59.894, 625, 54.0, 5, 0, 5, 0, 5, M, 92
COAL CREEK ALASKA, RAWS, -143.132, 65.314, 870, 56.6, 1, 10, 0, 11, 0, M, 92
UMIAT AIRFIELD ALASKA, RAWS, -152.136, 69.370, 289, 46.6, 2, 0, 1, 0, 1, M, 92
TEBAY ALASKA, RAWS, -144.400, 61.188, 2000, 51.7, 0, 0, 0, 0, 0, M, 92
KILLIK PASS ALASKA, RAWS, -154.924, 67.970, 3000, 40.9, 0, 0, 0, 0, 0, M, 92
CHICKEN CREEK ALASKA, RAWS, -141.845, 62.124, 5240, 47.1, 0, 0, 0, 0, 0, M, 92
CHIMNEY LAKE ALASKA, RAWS, -150.493, 67.756, 3100, 44.8, 0, 0, 0, 0, 0, M, 92
